# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.743352712959659129e+03 2.369571221485042289e-01
2.249999999999577616e-01 5.587088754114441502e-03 1.248123615290920585e-01
3.750000000000000000e-01 6.369281179690464839e-03 1.031320590538287868e-01
5.249999999999700462e-01 3.831146574249902955e-03 6.762068667565102054e-02
6.750000000001169509e-01 7.076979088544964498e-03 8.087352518142658375e-02
8.249999999998777200e-01 9.675821887807299279e-03 8.599414014218365043e-02
9.750000000001839418e-01 1.089482307052311479e-02 8.507651276186316280e-02
1.125000000000000000e+00 1.257094969675753328e-02 8.398503935572154688e-02
1.274999999999773648e+00 1.498654395221282569e-02 8.549863315043380874e-02
1.424999999999764455e+00 1.848150148400474688e-02 8.969209298544009168e-02
1.575000000000282396e+00 1.943508730895504577e-02 8.773666418423516078e-02
1.725000000000170397e+00 2.488683664604449119e-02 9.615819324979499316e-02
1.875000000000000000e+00 3.201401856107589233e-02 1.033180332527991185e-01
2.025000000000070521e+00 4.109614172470822668e-02 1.130640154311750023e-01
2.174999999999594813e+00 4.531321637819608200e-02 1.152447780384830422e-01
2.325000000000426059e+00 5.598803617631231688e-02 1.244268354119717479e-01
2.474999999999678124e+00 6.747679463492162188e-02 1.307669890582982553e-01
2.625000000000000000e+00 7.971179341048650890e-02 1.369503826278580250e-01
2.775000000000444444e+00 9.816665943377307635e-02 1.488434405460798415e-01
2.924999999999512212e+00 1.205306954685685106e-01 1.619205781624287743e-01
3.075000000000499334e+00 1.457208136393192688e-01 1.742367617197571050e-01
3.224999999999414779e+00 1.728944104805328619e-01 1.845392835482304039e-01
3.375000000000000000e+00 2.148235625956884387e-01 2.006679304455171453e-01
3.525000000000659384e+00 2.650776428255314787e-01 2.176852483351541800e-01
3.674999999999857714e+00 3.154880790563275306e-01 2.320119315310637809e-01
3.825000000000022382e+00 3.879411509033107719e-01 2.525183680996416768e-01
3.974999999999250466e+00 4.811432168212980698e-01 2.761355477083109466e-01
4.125000000000000000e+00 6.032379727817416271e-01 2.986149363896959397e-01
4.275000000000798828e+00 7.562418685997063239e-01 3.322217568306559676e-01
4.425000000000374634e+00 9.866561998717162663e-01 3.740742711229512185e-01
4.574999999999541878e+00 1.338222246134061821e+00 4.241334713285976887e-01
4.724999999999138112e+00 1.751831678852525886e+00 4.754876370948409314e-01
4.875000000000000000e+00 2.029802237651617602e+00 4.907775353830435283e-01
5.025000000000897415e+00 2.059196610774864933e+00 4.934443717339203617e-01
5.175000000000743228e+00 1.923245990997708654e+00 4.749886289055204047e-01
5.324999999999196376e+00 1.707158576237084446e+00 4.395281013982798579e-01
5.474999999999057287e+00 1.472993855517981343e+00 4.039735407412063939e-01
5.625000000000000000e+00 1.272034845004229142e+00 3.692676635838323951e-01
5.775000000000969358e+00 1.101291381009822379e+00 3.442921418304961123e-01
5.925000000001017675e+00 9.606963751378847505e-01 3.173978190181334647e-01
6.074999999998936140e+00 8.619739836926686438e-01 2.952138570571332110e-01
6.224999999998995115e+00 7.803581102924013191e-01 2.812510951789676250e-01
6.375000000000000000e+00 7.314616596886888145e-01 2.692484675798212379e-01
6.525000000001025313e+00 6.949182460720952914e-01 2.574659778024103729e-01
6.675000000001229949e+00 6.715147084081090068e-01 2.503649679941112316e-01
6.824999999998733635e+00 6.566548390316394590e-01 2.477001862484310146e-01
6.974999999999387690e+00 6.577445292949468669e-01 2.430691738100010935e-01
7.125000000000000000e+00 6.633050580345117853e-01 2.414387179070421330e-01
7.275000000000346745e+00 6.801963764441958382e-01 2.386685923384357644e-01
7.425000000001398703e+00 7.037192244386882845e-01 2.439467369150685461e-01
7.574999999998571099e+00 7.400099054824446076e-01 2.473963633594238598e-01
7.725000000000012079e+00 7.835241054683870221e-01 2.510355984258793582e-01
7.875000000000000000e+00 8.288286535621414153e-01 2.540343468404964167e-01
8.024999999999771205e+00 8.841959571756610181e-01 2.601398525335931744e-01
8.175000000001539036e+00 9.438668842346604748e-01 2.704130893147592141e-01
8.324999999998437872e+00 1.004860562787296185e+00 2.773686004819964079e-01
8.475000000000525446e+00 1.072854537600935521e+00 2.788596877019141607e-01
8.625000000000000000e+00 1.138024391649452793e+00 2.877547038821312575e-01
8.774999999999291589e+00 1.193502438959068490e+00 2.877081032742121458e-01
8.925000000001652722e+00 1.246263529544892945e+00 2.957248448525918172e-01
9.074999999998325961e+00 1.289862552604326362e+00 2.981797358104116835e-01
9.225000000000957101e+00 1.322109604909428526e+00 2.974926179718052066e-01
9.375000000000000000e+00 1.339265401400264954e+00 2.976444033034046921e-01
9.524999999998890132e+00 1.348001742915931445e+00 2.949525535657328001e-01
9.675000000001750422e+00 1.347125057994962960e+00 2.968709830644440939e-01
9.824999999998231814e+00 1.328637427924512115e+00 2.898367261930149819e-01
9.975000000001321254e+00 1.297643371329204598e+00 2.850684786510412350e-01
1.012500000000000000e+01 1.260056126715429103e+00 2.764342538937656912e-01
1.027499999999854730e+01 1.223994527432872070e+00 2.725743955019149234e-01
1.042500000000183391e+01 1.179944911009179975e+00 2.682508407784651716e-01
1.057499999999815010e+01 1.134529696060205373e+00 2.598531632263749169e-01
1.072500000000163745e+01 1.095167072183288681e+00 2.525972661693471344e-01
1.087500000000000000e+01 1.063745093719146162e+00 2.472274009576191645e-01
1.102499999999824887e+01 1.033138227300362866e+00 2.414157530523903528e-01
1.117500000000190674e+01 1.007931434724244069e+00 2.366339974318379669e-01
1.132499999999808082e+01 9.942705445587702862e-01 2.339969883007905760e-01
