# Radius RDF_mean RDF_std
7.500000000000896228e-02 2.095158282792915130e-03 9.367958533921373621e-02
2.249999999999577616e-01 2.374512720498637812e-03 5.754430192446455261e-02
3.750000000000000000e-01 3.268446921156948834e-03 5.223750211066646720e-02
5.249999999999700462e-01 4.010731569917866390e-03 4.883692073327378091e-02
6.750000000001169509e-01 4.190316565585830259e-03 4.397281991163878856e-02
8.249999999998777200e-01 4.076035204706222881e-03 3.992879468079005983e-02
9.750000000001839418e-01 5.382945126560237208e-03 4.180737313547728401e-02
1.125000000000000000e+00 6.229603960837623230e-03 4.143962975224262102e-02
1.274999999999773648e+00 7.813707948768858214e-03 4.360723642610283418e-02
1.424999999999764455e+00 9.262805039715982930e-03 4.532702797355496471e-02
1.575000000000282396e+00 1.139367028071183209e-02 4.807426359085949230e-02
1.725000000000170397e+00 1.508513963610912285e-02 5.266238716261592567e-02
1.875000000000000000e+00 1.763285210798532648e-02 5.445338416806584647e-02
2.025000000000070521e+00 2.227075656153939057e-02 5.834329302530622680e-02
2.174999999999594813e+00 2.907212734468420448e-02 6.525341387443100993e-02
2.325000000000426059e+00 3.456335309097716829e-02 6.965604042620619774e-02
2.474999999999678124e+00 4.543318991414223990e-02 7.510338637354020686e-02
2.625000000000000000e+00 5.567134865706920704e-02 8.187214803388315199e-02
2.775000000000444444e+00 7.029539168267487370e-02 8.911210739220307153e-02
2.924999999999512212e+00 8.634201005396312245e-02 9.696029333620571899e-02
3.075000000000499334e+00 1.099804794201617031e-01 1.059628144823761553e-01
3.224999999999414779e+00 1.365458505046234228e-01 1.152859648073068649e-01
3.375000000000000000e+00 1.718495382619605050e-01 1.283193789531169859e-01
3.525000000000659384e+00 2.187791025593861793e-01 1.390005240874383485e-01
3.674999999999857714e+00 2.793743915941292455e-01 1.535602618287256749e-01
3.825000000000022382e+00 3.634729886830949663e-01 1.724992294998607401e-01
3.974999999999250466e+00 4.852149395218246508e-01 1.967481207864797965e-01
4.125000000000000000e+00 6.745343044558372858e-01 2.267356851063859480e-01
4.275000000000798828e+00 9.176646249981676995e-01 2.594683959253720196e-01
4.425000000000374634e+00 1.105441021158878545e+00 2.814707426705040372e-01
4.574999999999541878e+00 1.162132779179610775e+00 2.828990617328787649e-01
4.724999999999138112e+00 1.106210316833981411e+00 2.740419814804595511e-01
4.875000000000000000e+00 9.966055520363746867e-01 2.522422453553406774e-01
5.025000000000897415e+00 8.753070969202995100e-01 2.318888063179462278e-01
5.175000000000743228e+00 7.614108845796273561e-01 2.155737748330555648e-01
5.324999999999196376e+00 6.701909689038257900e-01 1.978535907394899651e-01
5.474999999999057287e+00 5.972406539492357558e-01 1.870339659566372659e-01
