# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.743402996758445170e+03 6.887656875070312656e-01
2.249999999999577616e-01 7.766053368219102970e-02 4.677000685115310641e-01
3.750000000000000000e-01 7.123538161495919507e-02 3.495770131933282343e-01
5.249999999999700462e-01 7.386929488475538208e-02 3.012173802136657308e-01
6.750000000001169509e-01 7.598440705595740918e-02 2.681906064585665161e-01
8.249999999998777200e-01 7.755895025029678480e-02 2.421853063608308265e-01
9.750000000001839418e-01 7.987388038093674869e-02 2.240264747459515815e-01
1.125000000000000000e+00 8.402981486188000615e-02 2.175360539890122957e-01
1.274999999999773648e+00 8.888400903237093920e-02 2.071757981367680634e-01
1.424999999999764455e+00 9.443650280967541555e-02 2.049447682572984597e-01
1.575000000000282396e+00 1.006474131276935136e-01 1.997887817405832045e-01
1.725000000000170397e+00 1.090939808466436650e-01 1.995761348475779684e-01
1.875000000000000000e+00 1.168260258485381842e-01 1.990276373764813533e-01
2.025000000000070521e+00 1.295273409495633632e-01 1.995278108875241374e-01
2.174999999999594813e+00 1.432510290731679459e-01 2.024675893248955583e-01
2.325000000000426059e+00 1.588535492863409060e-01 2.076930746528267424e-01
2.474999999999678124e+00 1.685015176525078151e-01 2.095088743162166200e-01
2.625000000000000000e+00 1.973519379060585111e-01 2.177049435856993065e-01
2.775000000000444444e+00 2.222453304947399066e-01 2.220242410106453568e-01
2.924999999999512212e+00 2.488833151928858956e-01 2.299624621404133540e-01
3.075000000000499334e+00 2.811395806978734258e-01 2.404181342982285863e-01
3.224999999999414779e+00 3.223815177272247312e-01 2.480873306467590300e-01
3.375000000000000000e+00 3.815236673892731800e-01 2.667188994248372302e-01
3.525000000000659384e+00 4.368806220145495800e-01 2.778198856502113734e-01
3.674999999999857714e+00 5.114238609965203741e-01 2.961444826427438448e-01
3.825000000000022382e+00 5.961916679059292568e-01 3.114431559211541245e-01
3.974999999999250466e+00 7.124328787262835805e-01 3.302975108879148136e-01
4.125000000000000000e+00 8.482572105076305879e-01 3.562180821859575186e-01
4.275000000000798828e+00 1.028832988339950738e+00 3.863995860763161927e-01
4.425000000000374634e+00 1.276796559765474459e+00 4.206326910917170814e-01
4.574999999999541878e+00 1.642136976453163255e+00 4.671454261261679952e-01
4.724999999999138112e+00 2.057684880363527480e+00 5.158837786263698044e-01
4.875000000000000000e+00 2.324491085107106780e+00 5.427190773850079086e-01
