# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.097862940183481073e-01 6.797651852763499924e-01
2.249999999999577616e-01 1.265475602806916122e-01 4.218196045595767885e-01
3.750000000000000000e-01 1.224410500464137297e-01 3.197532579657461071e-01
5.249999999999700462e-01 1.261883902893565501e-01 2.760064616959228001e-01
6.750000000001169509e-01 1.257560560405232564e-01 2.416502095154681173e-01
8.249999999998777200e-01 1.342805990335511068e-01 2.282743222163700347e-01
9.750000000001839418e-01 1.314147741376358591e-01 2.030786576107707353e-01
1.125000000000000000e+00 1.403197340595778164e-01 1.977841374343205783e-01
1.274999999999773648e+00 1.396607862388705434e-01 1.845301559689581650e-01
1.424999999999764455e+00 1.478740661697508785e-01 1.796905735449444153e-01
1.575000000000282396e+00 1.458030625939681080e-01 1.704982293941050553e-01
1.725000000000170397e+00 1.563899017347341602e-01 1.677816871693223744e-01
1.875000000000000000e+00 1.610757687811102956e-01 1.635977380986331220e-01
2.025000000000070521e+00 1.691025529578627784e-01 1.620302966030040259e-01
2.174999999999594813e+00 1.780884540374116642e-01 1.609091085075353977e-01
2.325000000000426059e+00 1.888886570564566880e-01 1.604964202328596212e-01
2.474999999999678124e+00 2.007669552075225516e-01 1.589032724538939345e-01
2.625000000000000000e+00 2.118145162238406765e-01 1.611079895902943482e-01
2.775000000000444444e+00 2.233325477658339442e-01 1.609134989831316198e-01
2.924999999999512212e+00 2.437797245040448091e-01 1.642994768730769717e-01
3.075000000000499334e+00 2.622524952998162573e-01 1.658763717046078390e-01
3.224999999999414779e+00 2.811897313952945177e-01 1.653053079691906846e-01
3.375000000000000000e+00 3.054182067436484460e-01 1.696172887309491950e-01
3.525000000000659384e+00 3.348419558589520451e-01 1.729207299491679062e-01
3.674999999999857714e+00 3.679268977913574545e-01 1.765961886024133842e-01
3.825000000000022382e+00 4.045134421048666162e-01 1.827890227654138389e-01
3.974999999999250466e+00 4.493363422112049421e-01 1.899215367998791371e-01
4.125000000000000000e+00 5.041865079286845797e-01 1.968264799236542906e-01
4.275000000000798828e+00 5.745218068721468230e-01 2.036225543859918607e-01
4.425000000000374634e+00 6.727162623317444190e-01 2.186948708085164894e-01
4.574999999999541878e+00 8.097615028709176377e-01 2.348533411790021952e-01
4.724999999999138112e+00 9.582322804035615649e-01 2.546162170398694746e-01
4.875000000000000000e+00 1.051814584448190315e+00 2.618995069453387003e-01
5.025000000000897415e+00 1.067436238554285044e+00 2.574876727313754055e-01
5.175000000000743228e+00 1.017876477161213877e+00 2.502907685770703328e-01
5.324999999999196376e+00 9.492483466088950106e-01 2.371895142839751669e-01
5.474999999999057287e+00 8.691347974589839209e-01 2.240117501863860827e-01
5.625000000000000000e+00 7.936962413207389044e-01 2.101436101514642663e-01
5.775000000000969358e+00 7.384970379431519127e-01 1.998974519486498846e-01
5.925000000001017675e+00 6.914711878980519533e-01 1.931551358743844315e-01
6.074999999998936140e+00 6.539170063658250598e-01 1.850725874872551913e-01
6.224999999998995115e+00 6.309152661261490103e-01 1.781714101618207535e-01
6.375000000000000000e+00 6.139750427580411563e-01 1.746583329698511433e-01
6.525000000001025313e+00 6.019413828743139794e-01 1.711765596721381844e-01
6.675000000001229949e+00 5.985184521914299616e-01 1.673094765612126722e-01
6.824999999998733635e+00 5.994409013092273364e-01 1.665595785601143297e-01
6.974999999999387690e+00 6.065235414265848224e-01 1.664164207987754163e-01
7.125000000000000000e+00 6.180761042834674868e-01 1.663502141302490300e-01
7.275000000000346745e+00 6.312690306485182479e-01 1.690081163564577105e-01
7.425000000001398703e+00 6.488345427155044476e-01 1.655309087909139221e-01
7.574999999998571099e+00 6.697660938270886266e-01 1.657245904892313271e-01
7.725000000000012079e+00 6.908164026561759430e-01 1.680670672950033973e-01
7.875000000000000000e+00 7.167755978206933332e-01 1.729162862886643171e-01
8.024999999999771205e+00 7.416116246182815619e-01 1.710422487551874482e-01
8.175000000001539036e+00 7.721638575508830149e-01 1.753032451794668822e-01
8.324999999998437872e+00 7.979155503468087218e-01 1.735298255329980888e-01
8.475000000000525446e+00 8.249695009108971577e-01 1.775150326615498875e-01
