# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.743663634448820858e+03 1.630835892867606107e+00
2.249999999999577616e-01 2.516983483728548743e-01 8.333555389614065723e-01
3.750000000000000000e-01 2.794103085932526653e-01 6.823512524708774674e-01
5.249999999999700462e-01 2.848218031293952013e-01 5.847269564157052679e-01
6.750000000001169509e-01 2.827998091040853090e-01 5.087570043880637050e-01
8.249999999998777200e-01 2.868462158078413649e-01 4.697752867623183892e-01
9.750000000001839418e-01 2.944180885389158231e-01 4.338887488413912807e-01
1.125000000000000000e+00 3.074016232513621660e-01 4.107799547159975972e-01
1.274999999999773648e+00 2.994350919925502508e-01 3.845746673505567315e-01
1.424999999999764455e+00 3.109655977618922540e-01 3.688002461975606883e-01
1.575000000000282396e+00 3.146728201870635511e-01 3.532025922435094722e-01
1.725000000000170397e+00 3.269175671864001931e-01 3.421639435360798176e-01
1.875000000000000000e+00 3.430360753250952244e-01 3.381231494328172382e-01
2.025000000000070521e+00 3.520486702731403517e-01 3.312983894038631361e-01
2.174999999999594813e+00 3.686611615667750863e-01 3.245906088010152568e-01
2.325000000000426059e+00 3.812917731679215660e-01 3.232734605663390992e-01
2.474999999999678124e+00 4.001117423685430774e-01 3.191912736579416987e-01
2.625000000000000000e+00 4.125426520484496429e-01 3.139751423884827308e-01
2.775000000000444444e+00 4.382618120406818196e-01 3.122815548025642540e-01
2.924999999999512212e+00 4.629117920812794162e-01 3.165573722268221202e-01
3.075000000000499334e+00 4.929243120931525723e-01 3.138665770705640345e-01
3.224999999999414779e+00 5.167732266814222264e-01 3.158685948009061217e-01
3.375000000000000000e+00 5.576659521773107420e-01 3.224290208108345213e-01
3.525000000000659384e+00 6.011588625198367453e-01 3.246995272966687884e-01
3.674999999999857714e+00 6.475150810469959550e-01 3.305887960920011470e-01
3.825000000000022382e+00 7.006702276078662361e-01 3.373730572932031047e-01
3.974999999999250466e+00 7.682984954289782120e-01 3.440556440642030256e-01
4.125000000000000000e+00 8.439907063681244548e-01 3.568345788027509902e-01
4.275000000000798828e+00 9.453501200613546596e-01 3.688521026478413511e-01
4.425000000000374634e+00 1.076343178838178538e+00 3.857361087989075732e-01
4.574999999999541878e+00 1.266670873433831668e+00 4.116634748504864882e-01
4.724999999999138112e+00 1.481243649453821698e+00 4.423642661928882114e-01
4.875000000000000000e+00 1.636995516152702113e+00 4.537802335707206702e-01
5.025000000000897415e+00 1.663593201760676266e+00 4.526404746955397518e-01
5.175000000000743228e+00 1.589781813292800328e+00 4.277085135606411570e-01
5.324999999999196376e+00 1.466244882987484788e+00 4.066495996057392093e-01
5.474999999999057287e+00 1.327549689574387459e+00 3.853325943898877615e-01
5.625000000000000000e+00 1.215538203522628091e+00 3.622937114735946262e-01
5.775000000000969358e+00 1.121676999002916286e+00 3.433723493476967259e-01
5.925000000001017675e+00 1.045383203348200007e+00 3.333766621191062152e-01
6.074999999998936140e+00 9.850451331930293319e-01 3.163915515847277038e-01
6.224999999998995115e+00 9.479303843223940707e-01 3.073519153161983208e-01
6.375000000000000000e+00 9.100776006349203806e-01 2.991360458060726701e-01
6.525000000001025313e+00 8.914778081888211636e-01 2.918408386906006791e-01
6.675000000001229949e+00 8.870288100633225703e-01 2.855401794157971795e-01
6.824999999998733635e+00 8.867078232257810111e-01 2.824292216856884585e-01
6.974999999999387690e+00 8.850128815187956466e-01 2.827004212036484110e-01
7.125000000000000000e+00 8.989419965258268475e-01 2.779882792173859474e-01
7.275000000000346745e+00 9.135235706095820030e-01 2.768956092160952398e-01
7.425000000001398703e+00 9.367431519152182862e-01 2.812785532268998190e-01
7.574999999998571099e+00 9.580972129939221427e-01 2.803294318336389535e-01
7.725000000000012079e+00 9.813477300491251221e-01 2.838082064009733729e-01
7.875000000000000000e+00 1.007128618816664378e+00 2.811591648924944287e-01
8.024999999999771205e+00 1.042401946536902102e+00 2.841812161711110840e-01
8.175000000001539036e+00 1.065040075195455627e+00 2.860013540560695788e-01
8.324999999998437872e+00 1.091354736796916081e+00 2.862191214076315049e-01
8.475000000000525446e+00 1.113044494183087707e+00 2.895499098281851813e-01
8.625000000000000000e+00 1.136574177742406322e+00 2.908624758452478254e-01
8.774999999999291589e+00 1.148139576036227405e+00 2.848753664338642411e-01
8.925000000001652722e+00 1.166041855597681920e+00 2.851196537091360006e-01
9.074999999998325961e+00 1.172457501194015927e+00 2.838632944283157045e-01
9.225000000000957101e+00 1.170154417843280559e+00 2.826843257504379481e-01
9.375000000000000000e+00 1.169574341760309277e+00 2.816205864602659981e-01
9.524999999998890132e+00 1.158935979261431770e+00 2.776704876567672731e-01
9.675000000001750422e+00 1.155702302018264183e+00 2.728478609080657868e-01
9.824999999998231814e+00 1.138652953041769500e+00 2.737916523424653858e-01
9.975000000001321254e+00 1.115928560624901866e+00 2.637749874033725184e-01
1.012500000000000000e+01 1.085366485003438797e+00 2.564912892388597210e-01
1.027499999999854730e+01 1.064077365889001703e+00 2.544459751318363105e-01
1.042500000000183391e+01 1.037630907823457349e+00 2.472279159397824666e-01
1.057499999999815010e+01 1.014692585995922602e+00 2.483479107459675150e-01
1.072500000000163745e+01 9.982506175747677402e-01 2.401142990590894588e-01
1.087500000000000000e+01 9.800543573471633962e-01 2.384065168300848192e-01
1.102499999999824887e+01 9.706084421420667629e-01 2.341092195401676956e-01
1.117500000000190674e+01 9.673050500890364445e-01 2.326809025397976460e-01
1.132499999999808082e+01 9.646608241913504633e-01 2.308221239820073545e-01
1.147500000000190923e+01 9.589963969537705912e-01 2.276265710885301552e-01
1.162500000000000000e+01 9.620209874173231146e-01 2.296995826940553820e-01
1.177499999999798952e+01 9.713313938514684942e-01 2.272443256652609267e-01
1.192500000000196891e+01 9.803285136476502792e-01 2.257605556963833693e-01
1.207499999999801865e+01 9.958951001794111857e-01 2.277960975423509449e-01
1.222500000000215081e+01 1.005146401990593130e+00 2.264784373395873351e-01
1.237500000000000000e+01 1.015692102125266283e+00 2.267061883705740466e-01
1.252499999999776215e+01 1.029217023655736973e+00 2.269579786044204073e-01
1.267500000000202398e+01 1.036654564598834538e+00 2.264021987348500131e-01
1.282499999999796536e+01 1.049412098584265429e+00 2.266028438488005559e-01
1.297500000000236220e+01 1.061051130262255615e+00 2.286595643987110460e-01
1.312500000000000000e+01 1.070067971787240113e+00 2.250379894315012452e-01
1.327499999999756142e+01 1.073862132645682310e+00 2.249167243931124160e-01
1.342500000000173088e+01 1.080460251161934560e+00 2.240280123040923610e-01
1.357499999999841833e+01 1.077420677601092391e+00 2.238134782848991977e-01
1.372500000000255049e+01 1.073096566427517162e+00 2.206827136893590169e-01
1.387500000000000000e+01 1.075647467277937697e+00 2.214382166482805336e-01
1.402499999999738023e+01 1.071098693627684062e+00 2.157201222076433056e-01
1.417500000000102034e+01 1.064109829392724915e+00 2.178052828505525618e-01
1.432499999999911111e+01 1.055744773991822649e+00 2.143406449988013440e-01
1.447500000000271925e+01 1.048004686498483329e+00 2.158053512292977538e-01
1.462500000000000000e+01 1.040629662538444800e+00 2.106184521293515410e-01
1.477499999999721680e+01 1.033736207280309127e+00 2.102009710799821463e-01
1.492500000000038618e+01 1.031015809685452478e+00 2.095871173697206602e-01
1.507499999999973639e+01 1.016716730233818700e+00 2.038498443168345053e-01
1.522500000000287201e+01 1.006348903425511310e+00 2.020403687439868701e-01
1.537500000000000000e+01 1.003705504926345249e+00 2.022845514121653365e-01
1.552499999999706937e+01 9.987042606430900360e-01 2.011259483975598727e-01
1.567499999999980886e+01 9.996611672732442777e-01 2.023646766025618271e-01
