# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.743346008453154127e+03 3.201421350240707397e-10
2.249999999999577616e-01 1.117417750822888561e-03 5.586250627937135865e-02
3.750000000000000000e-01 1.843739288857765236e-03 5.556302883550981453e-02
5.249999999999700462e-01 1.915573287124951478e-03 4.785340170000580706e-02
6.750000000001169509e-01 2.421071793449592387e-03 4.742173575589759410e-02
8.249999999998777200e-01 2.971315382869950568e-03 4.748863828241661755e-02
9.750000000001839418e-01 3.158854026364703825e-03 4.501805224717914111e-02
1.125000000000000000e+00 4.302058340668111006e-03 4.883984880525998190e-02
1.274999999999773648e+00 4.486103617274236899e-03 4.681504352697984928e-02
1.424999999999764455e+00 6.925049482073436687e-03 5.518882548131258392e-02
1.575000000000282396e+00 8.779710899322666282e-03 5.935167967954593782e-02
1.725000000000170397e+00 1.089482307052313907e-02 6.291049959174617456e-02
1.875000000000000000e+00 1.434764392056578873e-02 6.867828579234327990e-02
2.025000000000070521e+00 1.849947165251216927e-02 7.555658868435494169e-02
2.174999999999594813e+00 2.493960824896977388e-02 8.595219324709466036e-02
2.325000000000426059e+00 3.103537688575905285e-02 9.216829223590213005e-02
2.474999999999678124e+00 4.192856151383258373e-02 1.043586229050541131e-01
2.625000000000000000e+00 5.253459739940342238e-02 1.122313907651626835e-01
2.775000000000444444e+00 6.677326073160266828e-02 1.230919794714351173e-01
2.924999999999512212e+00 8.518161469734832070e-02 1.356899428842656408e-01
3.075000000000499334e+00 1.111149309781685052e-01 1.509260358262096147e-01
3.224999999999414779e+00 1.365458505046320270e-01 1.619508460871519340e-01
3.375000000000000000e+00 1.777252932683706654e-01 1.824924263346295872e-01
3.525000000000659384e+00 2.297898280029978813e-01 1.999508779077501242e-01
3.674999999999857714e+00 2.943825662321117309e-01 2.241997492122758950e-01
3.825000000000022382e+00 4.008900507216700548e-01 2.564746526502759139e-01
3.974999999999250466e+00 5.550351010136770347e-01 2.933412985033750919e-01
4.125000000000000000e+00 7.407565437068694969e-01 3.338035931648798971e-01
4.275000000000798828e+00 8.876119686471123371e-01 3.541729290132206720e-01
4.425000000000374634e+00 9.479490383760583727e-01 3.597392797927226327e-01
4.574999999999541878e+00 9.602969081467344070e-01 3.568730332628477497e-01
4.724999999999138112e+00 9.346800407865222260e-01 3.514413612075590887e-01
4.875000000000000000e+00 8.967148517536605024e-01 3.317500410705694347e-01
5.025000000000897415e+00 8.737122749438011038e-01 3.296754070135152204e-01
5.175000000000743228e+00 8.538043283895400126e-01 3.204699355185400833e-01
5.324999999999196376e+00 8.411086699452151594e-01 3.155934323096463157e-01
5.474999999999057287e+00 8.396475971885449807e-01 3.054236620072987574e-01
5.625000000000000000e+00 8.402869744412835296e-01 3.062745945787048174e-01
5.775000000000969358e+00 8.566095453970159479e-01 3.039129704209969640e-01
5.925000000001017675e+00 8.856525792266026764e-01 3.022156696387208741e-01
6.074999999998936140e+00 9.239699759420322289e-01 3.086005239664623145e-01
6.224999999998995115e+00 9.667413716999416762e-01 3.085627149624676768e-01
6.375000000000000000e+00 1.008397216616145231e+00 3.165718165631595249e-01
6.525000000001025313e+00 1.050796533885894224e+00 3.122959425196427663e-01
6.675000000001229949e+00 1.100085220429471322e+00 3.161910396068718931e-01
6.824999999998733635e+00 1.139176698674075228e+00 3.222730900312780200e-01
6.974999999999387690e+00 1.171576466004071060e+00 3.226543948037039478e-01
7.125000000000000000e+00 1.188541390662792407e+00 3.190868823076287164e-01
7.275000000000346745e+00 1.201929668085523373e+00 3.207226645633849960e-01
7.425000000001398703e+00 1.205321280554294994e+00 3.143690331833688401e-01
7.574999999998571099e+00 1.204620589555439159e+00 3.109260261496286648e-01
7.725000000000012079e+00 1.208983626273193890e+00 3.132164329871779951e-01
7.875000000000000000e+00 1.209053987945714281e+00 3.093304523010491081e-01
8.024999999999771205e+00 1.220251513368234786e+00 3.093844014807692888e-01
8.175000000001539036e+00 1.230346141544259586e+00 3.081846864744346437e-01
8.324999999998437872e+00 1.235267572934927616e+00 3.051299454280895773e-01
8.475000000000525446e+00 1.249441152515278874e+00 3.016748864340608738e-01
8.625000000000000000e+00 1.263558988447331499e+00 3.010150498880563852e-01
8.774999999999291589e+00 1.263455655334293271e+00 2.962421498904174166e-01
8.925000000001652722e+00 1.257834437304991226e+00 2.936521178742533267e-01
9.074999999998325961e+00 1.257690617980947279e+00 2.927965294894591675e-01
9.225000000000957101e+00 1.252925093678616486e+00 2.896576994733011112e-01
9.375000000000000000e+00 1.243377549366657897e+00 2.877379414101930433e-01
9.524999999998890132e+00 1.222780566304023875e+00 2.812616516992067495e-01
9.675000000001750422e+00 1.213957447202148598e+00 2.787642705355028450e-01
9.824999999998231814e+00 1.198571281214710460e+00 2.737801731776270397e-01
9.975000000001321254e+00 1.179117274188347553e+00 2.710546723327620922e-01
1.012500000000000000e+01 1.161897185182026560e+00 2.665370235981067149e-01
1.027499999999854730e+01 1.146311563832325353e+00 2.626547744647898530e-01
1.042500000000183391e+01 1.138053803818262599e+00 2.608130631590699910e-01
1.057499999999815010e+01 1.127516116560365766e+00 2.581587443742169308e-01
1.072500000000163745e+01 1.118996201072339325e+00 2.541491659243216295e-01
1.087500000000000000e+01 1.106596137880869080e+00 2.524017250961547720e-01
1.102499999999824887e+01 1.101123975660376120e+00 2.473497849100042001e-01
1.117500000000190674e+01 1.095624354957877022e+00 2.455736600382688595e-01
1.132499999999808082e+01 1.087467625047922493e+00 2.424131832071074188e-01
1.147500000000190923e+01 1.083303644194824944e+00 2.424516289680986314e-01
1.162500000000000000e+01 1.079906757842437948e+00 2.417492471797875186e-01
1.177499999999798952e+01 1.070826056865427089e+00 2.380672560685391514e-01
1.192500000000196891e+01 1.070217392527518907e+00 2.355941005235861474e-01
1.207499999999801865e+01 1.071638325453746932e+00 2.343847057897976704e-01
1.222500000000215081e+01 1.061774802792269323e+00 2.315912331513974576e-01
1.237500000000000000e+01 1.062217313932247054e+00 2.323091673807694824e-01
1.252499999999776215e+01 1.057144103520977652e+00 2.286721076096336347e-01
1.267500000000202398e+01 1.054933270942908230e+00 2.278226406487053324e-01
1.282499999999796536e+01 1.060012864351947526e+00 2.287879555804500087e-01
1.297500000000236220e+01 1.056274653807143027e+00 2.248472468290469428e-01
1.312500000000000000e+01 1.060542783617009821e+00 2.260261683539843691e-01
1.327499999999756142e+01 1.058923772459896329e+00 2.253483531481353108e-01
1.342500000000173088e+01 1.061109884273035542e+00 2.232069073486232513e-01
1.357499999999841833e+01 1.058501745571275299e+00 2.171551749657167907e-01
1.372500000000255049e+01 1.062380347013895499e+00 2.219650461337249747e-01
1.387500000000000000e+01 1.064548790969090053e+00 2.197657889749423943e-01
1.402499999999738023e+01 1.066312321336727154e+00 2.153262634970524725e-01
1.417500000000102034e+01 1.067386701288981943e+00 2.177344857755241780e-01
1.432499999999911111e+01 1.063173261892904620e+00 2.141769399474644231e-01
1.447500000000271925e+01 1.060150091093246205e+00 2.147964373578824526e-01
1.462500000000000000e+01 1.062857680258662230e+00 2.129412560948932553e-01
1.477499999999721680e+01 1.061094507618673077e+00 2.099543211964573775e-01
1.492500000000038618e+01 1.062525305709289603e+00 2.111574750609965800e-01
1.507499999999973639e+01 1.059874906124746330e+00 2.102683527265578056e-01
1.522500000000287201e+01 1.065434431195624754e+00 2.090197442820752038e-01
1.537500000000000000e+01 1.060591607375241052e+00 2.087188862013701629e-01
1.552499999999706937e+01 1.064599519021338647e+00 2.084912075570110879e-01
1.567499999999980886e+01 1.067861075548341310e+00 2.082830585589777461e-01
1.582500000000029772e+01 1.069313181440880944e+00 2.061918348776282106e-01
1.597500000000300879e+01 1.070096682903385776e+00 2.054849874347665639e-01
1.612500000000000000e+01 1.067844681698310261e+00 2.049729790213281055e-01
1.627499999999693969e+01 1.062355317599174676e+00 2.021230342337895503e-01
1.642499999999928662e+01 1.068312598156585747e+00 2.011957354022539390e-01
1.657500000000081286e+01 1.061424250700487626e+00 2.022807567057270106e-01
1.672500000000313847e+01 1.065772255740843555e+00 1.984448243988004290e-01
1.687500000000000000e+01 1.064664458806522385e+00 2.003701108717538260e-01
1.702499999999681535e+01 1.062970709468635810e+00 1.984069447382792173e-01
1.717499999999880700e+01 1.058993636914350445e+00 1.987383265381896802e-01
1.732500000000128182e+01 1.054795193040572565e+00 1.947297288222449019e-01
1.747500000000325215e+01 1.052139932302169401e+00 1.948513530954593675e-01
1.762500000000000000e+01 1.049601192028535301e+00 1.928932329504798593e-01
1.777499999999670521e+01 1.049347207457871800e+00 1.904486279885560518e-01
1.792499999999837357e+01 1.046730558460177374e+00 1.914957340990261769e-01
1.807500000000171170e+01 1.040672943305781972e+00 1.887974508828733633e-01
1.822500000000335874e+01 1.040747028543447250e+00 1.905962829090708521e-01
1.837500000000000000e+01 1.039003530270004250e+00 1.878605233831458499e-01
1.852499999999660218e+01 1.035595175315765726e+00 1.882701904687168193e-01
1.867499999999797211e+01 1.030477937806309363e+00 1.884692832636524207e-01
1.882500000000210960e+01 1.028837908820616320e+00 1.854084023568737249e-01
1.897500000000345466e+01 1.025809370274693100e+00 1.854019216722848917e-01
1.912500000000000000e+01 1.021296818592562161e+00 1.829359175670640658e-01
1.927499999999650626e+01 1.019456736679250630e+00 1.814618350861077478e-01
1.942499999999759908e+01 1.020761115376671579e+00 1.821300372446529592e-01
1.957500000000247198e+01 1.014605684835533594e+00 1.797751976035066035e-01
1.972500000000354348e+01 1.015404520588305992e+00 1.804261130976285710e-01
1.987500000000000000e+01 1.011447543840359620e+00 1.790571057860355086e-01
2.002499999999642100e+01 1.015258774598046365e+00 1.785141282092725934e-01
2.017499999999725446e+01 1.011224640278390652e+00 1.768817651251218259e-01
2.032500000000281304e+01 1.008270570278263722e+00 1.774482288333223412e-01
2.047500000000362874e+01 1.013123380860089684e+00 1.745146638688022944e-01
2.062500000000000000e+01 1.007876272875399382e+00 1.746962005239402760e-01
2.077499999999633928e+01 1.007364204364004534e+00 1.758523960396833064e-01
2.092499999999693472e+01 1.004558557989779999e+00 1.726615705649523769e-01
2.107500000000312212e+01 1.006361935036042654e+00 1.707209017752357727e-01
2.122500000000370690e+01 1.006596956978681456e+00 1.725495214424875301e-01
2.137500000000000000e+01 1.005005525090099106e+00 1.711261487398804126e-01
2.152499999999626468e+01 1.002802615809910147e+00 1.703887707254578276e-01
2.167499999999663984e+01 1.005487483991974518e+00 1.705238005248357891e-01
2.182500000000341700e+01 1.002070287534343462e+00 1.700645408490912003e-01
2.197500000000377796e+01 1.005043852900340928e+00 1.683981430242660338e-01
2.212500000000000000e+01 1.004110643925248070e+00 1.694897010561788875e-01
2.227499999999619718e+01 1.003695098818710552e+00 1.682380571213598353e-01
2.242499999999636273e+01 1.000981139454728774e+00 1.682978622335090935e-01
2.257500000000369056e+01 1.000516735477444907e+00 1.664512894430332790e-01
2.272500000000384546e+01 1.000965672696904063e+00 1.662135683313345214e-01
2.287500000000000000e+01 9.989577304928211055e-01 1.646267595859935429e-01
2.302499999999612967e+01 9.988267872956235749e-01 1.638562117344963820e-01
2.317499999999610338e+01 1.000785916991250968e+00 1.642784836587213859e-01
2.332500000000394635e+01 9.960288160590595741e-01 1.628170281691946886e-01
2.347500000000390941e+01 9.973970883151542788e-01 1.613890405116680804e-01
2.362500000000000000e+01 9.976491915638542318e-01 1.629405106743616327e-01
2.377499999999606928e+01 9.947362092116550647e-01 1.616572297177170658e-01
2.392499999999586180e+01 9.954589593621834265e-01 1.594433317967797747e-01
2.407500000000418439e+01 9.947837634592225919e-01 1.617291404341339445e-01
2.422500000000396625e+01 9.953182396849903357e-01 1.618455492594967626e-01
2.437500000000000000e+01 9.947244222304187922e-01 1.583582474149899944e-01
2.452499999999600888e+01 9.929486900741134603e-01 1.608266521596450060e-01
2.467499999999563087e+01 9.926796261250170339e-01 1.573507840320179652e-01
2.482500000000441176e+01 9.933987279904313850e-01 1.567137417528210175e-01
2.497500000000402309e+01 9.886957560000340095e-01 1.579777513611926865e-01
2.512500000000000000e+01 9.922844745014565149e-01 1.579957470894485516e-01
2.527499999999595559e+01 9.898025094865302576e-01 1.554490265934106996e-01
2.542499999999541771e+01 9.853078234197339969e-01 1.567617519197296583e-01
2.557500000000462137e+01 9.891358992089869240e-01 1.560486541167095120e-01
2.572500000000407638e+01 9.878714061701061588e-01 1.562679692992653691e-01
2.587500000000000000e+01 9.881543795738886304e-01 1.536793146850735647e-01
2.602499999999590585e+01 9.852533147154177717e-01 1.527844008465195913e-01
2.617499999999521521e+01 9.832835963858214123e-01 1.535668886180687753e-01
2.632500000000482032e+01 9.818783203507538415e-01 1.531817097412263295e-01
