# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.743346846516467394e+03 8.380633131168611916e-02
2.249999999999577616e-01 8.380633131171664205e-04 4.838076913987460898e-02
3.750000000000000000e-01 6.704506504937329412e-04 3.351750376762438477e-02
5.249999999999700462e-01 7.183399826718568854e-04 2.931877454634667854e-02
6.750000000001169509e-01 2.234835501645777555e-03 4.743087729539190861e-02
8.249999999998777200e-01 1.752314200154074780e-03 3.649806263433780229e-02
9.750000000001839418e-01 2.643122756754139741e-03 4.119600239793815705e-02
1.125000000000000000e+00 2.905286152139505400e-03 4.018620151371176535e-02
1.274999999999773648e+00 4.880486352858784578e-03 4.880979306382378369e-02
1.424999999999764455e+00 6.086986168956275145e-03 5.221045585570430192e-02
1.575000000000282396e+00 8.420540907986745482e-03 5.818460795495165871e-02
1.725000000000170397e+00 1.082194799981729856e-02 6.271169775304950844e-02
1.875000000000000000e+00 1.511866216863357211e-02 7.148301006494837961e-02
2.025000000000070521e+00 1.912025929185821524e-02 7.853161158583935042e-02
2.174999999999594813e+00 2.583546903195707567e-02 8.832702497250537188e-02
2.325000000000426059e+00 3.425245863611221103e-02 9.613777345285666465e-02
2.474999999999678124e+00 4.258885382113710566e-02 1.039668957484807393e-01
2.625000000000000000e+00 5.926304857042923729e-02 1.197891362473426091e-01
2.775000000000444444e+00 7.805313991896238590e-02 1.324798072231188895e-01
2.924999999999512212e+00 9.687152347518829254e-02 1.461311151739639880e-01
3.075000000000499334e+00 1.325979685900225136e-01 1.634215854470647822e-01
3.224999999999414779e+00 1.695226673835726894e-01 1.798785715229774262e-01
3.375000000000000000e+00 2.244147316235842737e-01 2.040320532370616946e-01
3.525000000000659384e+00 2.932151727850828560e-01 2.268818914665497732e-01
3.674999999999857714e+00 3.914952905561746022e-01 2.564032976322190849e-01
3.825000000000022382e+00 5.446261252282486032e-01 2.951261046658499865e-01
3.974999999999250466e+00 7.659898681890736638e-01 3.464042730235317169e-01
4.125000000000000000e+00 1.016083198338046945e+00 3.915294607849413855e-01
4.275000000000798828e+00 1.225351483833386323e+00 4.258976491685032562e-01
4.425000000000374634e+00 1.330972381396485993e+00 4.227203908907515850e-01
4.574999999999541878e+00 1.347440942578350676e+00 4.224556326147433372e-01
4.724999999999138112e+00 1.306833362179571578e+00 4.101620725771625842e-01
4.875000000000000000e+00 1.256398732461818657e+00 4.008386726233005293e-01
5.025000000000897415e+00 1.218769208610261279e+00 3.897151431425629475e-01
5.175000000000743228e+00 1.162867503252962731e+00 3.705973986446045032e-01
5.324999999999196376e+00 1.145325652606779210e+00 3.656735612439879768e-01
5.474999999999057287e+00 1.137768530271089595e+00 3.514471670676830306e-01
5.625000000000000000e+00 1.137441876917612893e+00 3.532321198890984726e-01
5.775000000000969358e+00 1.145110119952799321e+00 3.490072368801009350e-01
5.925000000001017675e+00 1.166000670058848554e+00 3.514438816823228229e-01
6.074999999998936140e+00 1.195968080121502908e+00 3.498174696316315724e-01
6.224999999998995115e+00 1.240131760446403941e+00 3.517892417872925392e-01
6.375000000000000000e+00 1.279348015531136973e+00 3.546052142833581167e-01
6.525000000001025313e+00 1.328677136109926993e+00 3.566400778913822456e-01
6.675000000001229949e+00 1.371730731179982010e+00 3.558331648113197687e-01
6.824999999998733635e+00 1.407237235541149767e+00 3.617865975483516294e-01
6.974999999999387690e+00 1.442694453514247632e+00 3.542637524057221654e-01
7.125000000000000000e+00 1.449964214040819321e+00 3.545054712967366517e-01
7.275000000000346745e+00 1.448562197325111711e+00 3.484617822637195994e-01
7.425000000001398703e+00 1.439945147083123045e+00 3.470365809265367751e-01
7.574999999998571099e+00 1.433096563086923014e+00 3.440632082811938552e-01
7.725000000000012079e+00 1.408898340868221410e+00 3.349122379529931859e-01
7.875000000000000000e+00 1.396836040971493054e+00 3.316194597391728949e-01
8.024999999999771205e+00 1.388106979381465989e+00 3.286793217087251584e-01
8.175000000001539036e+00 1.384734318859805136e+00 3.270005510555882844e-01
8.324999999998437872e+00 1.385983067137086522e+00 3.249633970600687705e-01
8.475000000000525446e+00 1.393039222148675149e+00 3.211353851497743550e-01
8.625000000000000000e+00 1.392759201301717598e+00 3.161581369586300982e-01
8.774999999999291589e+00 1.390196614841079148e+00 3.174384316713510512e-01
8.925000000001652722e+00 1.380966361393551223e+00 3.109038982485179958e-01
9.074999999998325961e+00 1.369513198065881010e+00 3.079111629607808598e-01
9.225000000000957101e+00 1.360094994914528677e+00 3.026696100205931717e-01
9.375000000000000000e+00 1.341846636404661064e+00 3.019305218840696026e-01
9.524999999998890132e+00 1.316419293966487158e+00 2.968372707615327122e-01
9.675000000001750422e+00 1.296958198274888341e+00 2.934181199751539904e-01
9.824999999998231814e+00 1.272627929402824654e+00 2.840332607270618648e-01
9.975000000001321254e+00 1.248871867242540512e+00 2.810064056509385955e-01
1.012500000000000000e+01 1.228669103670090301e+00 2.826276359444341857e-01
1.027499999999854730e+01 1.215467080290641322e+00 2.735645431283967310e-01
1.042500000000183391e+01 1.196682060341647702e+00 2.686432187681218053e-01
1.057499999999815010e+01 1.189021642547125612e+00 2.666634420589580334e-01
1.072500000000163745e+01 1.178785864851499721e+00 2.654303934038831358e-01
1.087500000000000000e+01 1.170335187653668063e+00 2.600331898557622368e-01
1.102499999999824887e+01 1.159030159819095740e+00 2.583065419883819880e-01
1.117500000000190674e+01 1.158270993759876299e+00 2.586286416412280631e-01
1.132499999999808082e+01 1.151765396454946577e+00 2.518732224584101509e-01
1.147500000000190923e+01 1.142559650216405931e+00 2.527998272377245392e-01
1.162500000000000000e+01 1.136824773953302170e+00 2.499354886503991902e-01
1.177499999999798952e+01 1.127750306362767629e+00 2.479444716380795610e-01
1.192500000000196891e+01 1.123974673851302564e+00 2.451149314019526460e-01
1.207499999999801865e+01 1.123301545221995879e+00 2.449786700931682049e-01
1.222500000000215081e+01 1.117138396385197963e+00 2.398694722807218904e-01
1.237500000000000000e+01 1.112602696151142601e+00 2.384171754269630294e-01
1.252499999999776215e+01 1.111989576269804436e+00 2.365641588848378107e-01
1.267500000000202398e+01 1.111108307694365305e+00 2.367331333303893115e-01
1.282499999999796536e+01 1.111992393585424121e+00 2.345665452328278278e-01
1.297500000000236220e+01 1.112923858336575034e+00 2.353209161859815823e-01
1.312500000000000000e+01 1.111233641727541022e+00 2.355169839955368882e-01
1.327499999999756142e+01 1.115287081382754675e+00 2.308672223468193896e-01
1.342500000000173088e+01 1.109928242741595961e+00 2.282349591422556390e-01
