# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.676126626234332190e-03 8.379375941907440950e-02
2.249999999999577616e-01 3.491930471321525939e-03 6.975475275088090232e-02
3.750000000000000000e-01 4.776960884767849497e-03 6.309498117910256054e-02
5.249999999999700462e-01 3.352253252468666983e-03 4.467300850627344000e-02
6.750000000001169509e-01 4.888702659850131110e-03 4.791473800928204574e-02
8.249999999998777200e-01 5.371223961341847764e-03 4.587520113858173376e-02
9.750000000001839418e-01 6.188775235326735187e-03 4.539435482100494940e-02
1.125000000000000000e+00 7.849859699530795099e-03 4.717147635330300876e-02
1.274999999999773648e+00 9.662377021821426382e-03 4.958512610823644778e-02
1.424999999999764455e+00 1.239451531504851163e-02 5.193186319609644636e-02
1.575000000000282396e+00 1.462620020273525979e-02 5.410963289276752436e-02
1.725000000000170397e+00 1.761754834313727577e-02 5.631915879592074708e-02
1.875000000000000000e+00 2.343225023475645902e-02 6.286524686421836317e-02
2.025000000000070521e+00 2.722153798532438163e-02 6.589126755215757303e-02
2.174999999999594813e+00 3.287231098864627082e-02 6.953315478651664328e-02
2.325000000000426059e+00 4.210592290903081292e-02 7.539475257744833459e-02
2.474999999999678124e+00 5.115995588710994801e-02 8.015075807835470023e-02
2.625000000000000000e+00 6.311813981076845603e-02 8.556148408083991130e-02
2.775000000000444444e+00 7.889120323207866881e-02 9.508211521720130732e-02
2.924999999999512212e+00 9.665663544617242309e-02 1.018448319116101453e-01
3.075000000000499334e+00 1.211614704512605500e-01 1.108581909658969689e-01
3.224999999999414779e+00 1.518453784301318499e-01 1.216051991055633053e-01
3.375000000000000000e+00 1.863852808372474246e-01 1.328297467416489630e-01
3.525000000000659384e+00 2.398020099246031545e-01 1.455998092993530391e-01
3.674999999999857714e+00 3.065344842722932950e-01 1.625110413667219533e-01
3.825000000000022382e+00 4.131816459807349795e-01 1.834169307700728446e-01
3.974999999999250466e+00 5.766903407743187993e-01 2.126569986655320044e-01
4.125000000000000000e+00 7.482762572527531519e-01 2.384739536591130027e-01
4.275000000000798828e+00 8.715637913441542928e-01 2.516134866227186517e-01
4.425000000000374634e+00 9.007973236660270500e-01 2.519355248488954757e-01
4.574999999999541878e+00 8.704111831292192791e-01 2.458805865403044244e-01
4.724999999999138112e+00 8.122828892945561652e-01 2.294937121519598777e-01
4.875000000000000000e+00 7.543472347776634113e-01 2.178189206538247158e-01
5.025000000000897415e+00 7.031726449283243197e-01 2.073322085063659115e-01
5.175000000000743228e+00 6.640680088843258222e-01 2.029931499009304807e-01
5.324999999999196376e+00 6.372763273738626388e-01 1.943278894095364639e-01
5.474999999999057287e+00 6.105004228074563111e-01 1.881476661791729732e-01
5.625000000000000000e+00 5.997963261091920906e-01 1.828846430217673791e-01
5.775000000000969358e+00 6.006954846006119508e-01 1.828392643131035722e-01
5.925000000001017675e+00 6.049438029178190179e-01 1.800627509883428734e-01
6.074999999998936140e+00 6.188838905854019412e-01 1.795100495288279030e-01
6.224999999998995115e+00 6.329447929446583299e-01 1.806629312319249780e-01
6.375000000000000000e+00 6.496617505442479068e-01 1.826140470985404551e-01
6.525000000001025313e+00 6.751515113765045317e-01 1.823355889901130955e-01
6.675000000001229949e+00 6.988647633850219032e-01 1.813583335774062999e-01
6.824999999998733635e+00 7.199838760937529170e-01 1.843694295456859145e-01
6.974999999999387690e+00 7.380183786847283045e-01 1.843625891499345304e-01
7.125000000000000000e+00 7.489021983205867983e-01 1.833278337903048172e-01
7.275000000000346745e+00 7.576394744558058170e-01 1.825912490258671528e-01
7.425000000001398703e+00 7.567669391018038150e-01 1.793836408465444843e-01
7.574999999998571099e+00 7.596214167750595658e-01 1.789536063972732571e-01
7.725000000000012079e+00 7.644439261551719822e-01 1.771022800153167764e-01
7.875000000000000000e+00 7.640703041242714599e-01 1.780157752612377409e-01
8.024999999999771205e+00 7.687625262530597414e-01 1.761288101148584806e-01
8.175000000001539036e+00 7.825666067494846390e-01 1.766388798298820506e-01
8.324999999998437872e+00 7.855899795480350001e-01 1.743290386292353500e-01
8.475000000000525446e+00 7.923295306363159485e-01 1.740422815602778173e-01
8.625000000000000000e+00 8.000006636874910093e-01 1.717040528222920914e-01
8.774999999999291589e+00 8.041396562716641716e-01 1.693992956339727129e-01
8.925000000001652722e+00 8.067767898522694159e-01 1.697140261485031443e-01
9.074999999998325961e+00 8.020265906531300892e-01 1.692191895481807984e-01
9.225000000000957101e+00 7.989570985996740093e-01 1.679334009806984773e-01
9.375000000000000000e+00 7.950974831802670728e-01 1.653603304996072998e-01
9.524999999998890132e+00 7.917454674890702648e-01 1.614147011340158477e-01
9.675000000001750422e+00 7.868180153352392070e-01 1.589919572354889787e-01
9.824999999998231814e+00 7.815708086402061161e-01 1.590993349703203052e-01
9.975000000001321254e+00 7.826597666466158509e-01 1.597421927599433078e-01
1.012500000000000000e+01 7.803642059781491502e-01 1.580638734050222316e-01
1.027499999999854730e+01 7.821547025315227497e-01 1.569370462900865348e-01
1.042500000000183391e+01 7.875895935073444765e-01 1.566673997929674544e-01
1.057499999999815010e+01 7.912238951099026529e-01 1.531511767765759702e-01
1.072500000000163745e+01 7.972091917483616896e-01 1.572382780150844428e-01
1.087500000000000000e+01 8.049164641466317605e-01 1.548886856949598378e-01
1.102499999999824887e+01 8.138022353690707034e-01 1.549225324533257120e-01
1.117500000000190674e+01 8.216648326514309764e-01 1.540649194482493212e-01
1.132499999999808082e+01 8.294412511507349706e-01 1.528497886345958623e-01
1.147500000000190923e+01 8.349904143024228231e-01 1.530472413810934351e-01
1.162500000000000000e+01 8.416805025137878982e-01 1.519028836377357972e-01
1.177499999999798952e+01 8.498869452098768429e-01 1.532025105789620034e-01
1.192500000000196891e+01 8.554228195432740378e-01 1.527797800474947898e-01
1.207499999999801865e+01 8.584917570446586321e-01 1.494572678992665271e-01
1.222500000000215081e+01 8.637527814852049568e-01 1.511202588831599969e-01
1.237500000000000000e+01 8.680558213835929404e-01 1.516177925381591851e-01
1.252499999999776215e+01 8.720901891327095257e-01 1.527776589340979485e-01
1.267500000000202398e+01 8.743157501027117862e-01 1.504922520969186883e-01
1.282499999999796536e+01 8.758545774881899559e-01 1.503683811559460848e-01
1.297500000000236220e+01 8.826792848732941676e-01 1.507819896176169350e-01
1.312500000000000000e+01 8.827751881053038652e-01 1.459837651078564613e-01
1.327499999999756142e+01 8.835483708429217042e-01 1.465034438158465957e-01
1.342500000000173088e+01 8.870057424114097255e-01 1.470145594380548593e-01
1.357499999999841833e+01 8.867659040509908719e-01 1.466675793774068481e-01
1.372500000000255049e+01 8.879051823429122692e-01 1.464525994011401933e-01
1.387500000000000000e+01 8.927752572478298010e-01 1.456513894948462950e-01
1.402499999999738023e+01 8.894607949700246152e-01 1.418163031281476638e-01
1.417500000000102034e+01 8.941049172590870286e-01 1.459465101724531089e-01
1.432499999999911111e+01 8.931319707678249120e-01 1.438214897089093447e-01
1.447500000000271925e+01 8.955119018867744307e-01 1.430332611540879595e-01
1.462500000000000000e+01 8.956726448129516127e-01 1.427878845074545822e-01
1.477499999999721680e+01 8.996375689245654783e-01 1.405098187789688424e-01
1.492500000000038618e+01 9.046788180763900566e-01 1.414428424096317860e-01
1.507499999999973639e+01 9.049353451939473603e-01 1.408812547661707493e-01
1.522500000000287201e+01 9.120874226533538520e-01 1.420409749706766922e-01
1.537500000000000000e+01 9.095869067495608862e-01 1.385565880712836262e-01
1.552499999999706937e+01 9.151772837690462792e-01 1.397524292645634936e-01
1.567499999999980886e+01 9.191649855547336934e-01 1.386152623750039892e-01
