# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.743508592735896173e+03 1.174055814096315764e+00
2.249999999999577616e-01 1.634223460578488885e-01 6.709385284648090586e-01
3.750000000000000000e-01 1.614109941063627540e-01 5.178031810614054375e-01
5.249999999999700462e-01 1.659365359971949894e-01 4.437937318330832381e-01
6.750000000001169509e-01 1.652847089758845700e-01 3.922193785304379232e-01
8.249999999998777200e-01 1.686792886583119155e-01 3.573586580728126405e-01
9.750000000001839418e-01 1.658720695884933483e-01 3.231873192654059479e-01
1.125000000000000000e+00 1.767196172926333020e-01 3.156068351500451175e-01
1.274999999999773648e+00 1.784088900100558872e-01 2.965164423888395628e-01
1.424999999999764455e+00 1.870204446114075436e-01 2.845888491161519540e-01
1.575000000000282396e+00 1.998182385132121763e-01 2.828881049722833940e-01
1.725000000000170397e+00 2.002242567643076621e-01 2.702857090941848117e-01
1.875000000000000000e+00 2.086107199011343338e-01 2.629207380952021667e-01
2.025000000000070521e+00 2.229248412891817743e-01 2.604925019245704632e-01
2.174999999999594813e+00 2.238496008071018950e-01 2.538704109049272906e-01
2.325000000000426059e+00 2.346036590719709769e-01 2.513877310380285279e-01
2.474999999999678124e+00 2.447144874302300821e-01 2.477187308732614890e-01
2.625000000000000000e+00 2.615475876908273101e-01 2.505634548681351936e-01
2.775000000000444444e+00 2.744317595061578907e-01 2.487513643586435896e-01
2.924999999999512212e+00 2.904641488052371323e-01 2.489479439036747788e-01
3.075000000000499334e+00 3.031336325250466035e-01 2.481217502997095925e-01
3.224999999999414779e+00 3.207833504789561196e-01 2.528391272318781247e-01
3.375000000000000000e+00 3.394156418124331109e-01 2.521359567160670889e-01
3.525000000000659384e+00 3.592795254467665012e-01 2.552213291252082294e-01
3.674999999999857714e+00 3.813530141341642254e-01 2.530284124704242354e-01
3.825000000000022382e+00 4.061484871961305587e-01 2.586272071354983049e-01
3.974999999999250466e+00 4.295944168069238955e-01 2.577392194094034750e-01
4.125000000000000000e+00 4.647442009104418847e-01 2.678744342593967764e-01
4.275000000000798828e+00 4.997503861904047939e-01 2.712786039206491195e-01
4.425000000000374634e+00 5.434059340103454261e-01 2.783651475156324051e-01
4.574999999999541878e+00 6.010562604190531344e-01 2.860397416436566975e-01
4.724999999999138112e+00 6.683488409147696485e-01 2.973847411731454504e-01
4.875000000000000000e+00 7.432590124810338761e-01 3.055794384691272736e-01
5.025000000000897415e+00 7.870540266859624712e-01 3.103949114130797882e-01
5.175000000000743228e+00 8.111724120266282645e-01 3.099550458113546347e-01
5.324999999999196376e+00 8.140781771700270619e-01 3.086526390907711748e-01
