# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.085291990486723784e-01 6.734796923622821119e-01
2.249999999999577616e-01 1.028024330757067034e-01 3.824990697026581232e-01
3.750000000000000000e-01 1.085291990486696029e-01 3.018708241834909267e-01
5.249999999999700462e-01 1.084693373834483554e-01 2.541040327243215269e-01
6.750000000001169509e-01 1.102518847478567016e-01 2.279756532449103701e-01
8.249999999998777200e-01 1.127195156142620225e-01 2.059113344502849774e-01
9.750000000001839418e-01 1.159750692536710565e-01 1.935047449460163826e-01
1.125000000000000000e+00 1.207090525326373481e-01 1.846386895414223461e-01
1.274999999999773648e+00 1.238115300525681473e-01 1.757989660161496659e-01
1.424999999999764455e+00 1.267019403646858777e-01 1.662050768769300357e-01
1.575000000000282396e+00 1.295605974302233288e-01 1.607764149375229823e-01
1.725000000000170397e+00 1.379889463815097139e-01 1.564987244057660654e-01
1.875000000000000000e+00 1.393699289713794809e-01 1.528917910637167532e-01
2.025000000000070521e+00 1.484924033315752068e-01 1.512608893247053554e-01
2.174999999999594813e+00 1.518195039814270175e-01 1.467833203265692665e-01
2.325000000000426059e+00 1.612325677235867671e-01 1.472618359766266483e-01
2.474999999999678124e+00 1.675618709074989388e-01 1.448877733255766742e-01
2.625000000000000000e+00 1.775496990503944161e-01 1.438113525641807888e-01
2.775000000000444444e+00 1.875789547994667350e-01 1.464066643699822312e-01
2.924999999999512212e+00 1.979655967202956779e-01 1.460376389049834189e-01
3.075000000000499334e+00 2.084426984271215977e-01 1.461450668465629210e-01
3.224999999999414779e+00 2.199623849265128217e-01 1.466856556605793394e-01
3.375000000000000000e+00 2.325346339462298906e-01 1.466149148994974893e-01
3.525000000000659384e+00 2.466224188026291120e-01 1.492920450270107668e-01
3.674999999999857714e+00 2.602357620558009565e-01 1.492179489168021234e-01
3.825000000000022382e+00 2.796830899853600672e-01 1.504252506029149505e-01
3.974999999999250466e+00 2.967534754201793801e-01 1.514737480700199257e-01
4.125000000000000000e+00 3.208487300482140148e-01 1.563878139449857985e-01
4.275000000000798828e+00 3.470023202259518991e-01 1.604872839834936005e-01
4.425000000000374634e+00 3.781583144654627748e-01 1.613934375383891673e-01
4.574999999999541878e+00 4.172181425039632741e-01 1.708733215260731242e-01
4.724999999999138112e+00 4.685505562899915377e-01 1.759086277157595746e-01
4.875000000000000000e+00 5.222939500163765736e-01 1.836219165471020820e-01
5.025000000000897415e+00 5.541099508623462677e-01 1.856337217132301709e-01
5.175000000000743228e+00 5.708607934515735893e-01 1.857003025828137810e-01
5.324999999999196376e+00 5.709512885512498803e-01 1.819207426340286038e-01
5.474999999999057287e+00 5.680232411837066175e-01 1.805011502956846148e-01
5.625000000000000000e+00 5.638881066864992464e-01 1.761509573414899166e-01
5.775000000000969358e+00 5.683157656847240835e-01 1.751867540052229888e-01
5.925000000001017675e+00 5.765822552264473488e-01 1.760018479669061553e-01
6.074999999998936140e+00 5.928263294238494963e-01 1.755352724456473168e-01
6.224999999998995115e+00 6.070203645539572479e-01 1.781334373421033790e-01
6.375000000000000000e+00 6.375985686195552171e-01 1.792601265891557438e-01
6.525000000001025313e+00 6.638280237377768289e-01 1.800387366014645218e-01
6.675000000001229949e+00 7.044110475583472697e-01 1.854772273057248566e-01
6.824999999998733635e+00 7.472301432570168656e-01 1.876492571765275841e-01
6.974999999999387690e+00 7.948174438737389824e-01 1.921299993061806044e-01
7.125000000000000000e+00 8.414729075436916395e-01 1.953352342219037141e-01
7.275000000000346745e+00 8.931724558255839108e-01 1.982044073904197790e-01
7.425000000001398703e+00 9.448994549676259513e-01 2.023219972450854276e-01
7.574999999998571099e+00 9.978678809124192917e-01 2.053808717849669174e-01
7.725000000000012079e+00 1.043034885470457418e+00 2.096246302401803541e-01
7.875000000000000000e+00 1.081588548798279259e+00 2.073703494191204144e-01
8.024999999999771205e+00 1.113809640234947773e+00 2.102837776381359658e-01
8.175000000001539036e+00 1.139973699504090998e+00 2.136971570630444850e-01
8.324999999998437872e+00 1.146134632007063558e+00 2.127397489194306768e-01
8.475000000000525446e+00 1.144946523752731204e+00 2.086972269730159868e-01
8.625000000000000000e+00 1.128740107641554413e+00 2.041698177290515170e-01
8.774999999999291589e+00 1.100900024326755933e+00 2.007794728404691531e-01
8.925000000001652722e+00 1.066389789374073471e+00 1.961107582326486187e-01
9.074999999998325961e+00 1.019095377965125948e+00 1.913433535866874424e-01
