# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.743475908266685337e+03 1.055472787356115383e+00
2.249999999999577616e-01 1.416326999168023015e-01 6.304681229921109686e-01
3.750000000000000000e-01 1.453201784945142294e-01 4.915152665963162248e-01
5.249999999999700462e-01 1.563586695615705457e-01 4.315994346547689653e-01
6.750000000001169509e-01 1.434950628348393431e-01 3.649125611450885764e-01
8.249999999998777200e-01 1.506228336393322376e-01 3.385321440667642956e-01
9.750000000001839418e-01 1.529787878482307129e-01 3.146450545518701958e-01
1.125000000000000000e+00 1.611316396686548746e-01 2.950393611578965292e-01
1.274999999999773648e+00 1.671689820458968356e-01 2.850575489352965564e-01
1.424999999999764455e+00 1.748023636780679513e-01 2.762695809643084810e-01
1.575000000000282396e+00 1.809019523028548293e-01 2.658840588101740177e-01
1.725000000000170397e+00 1.864144308655492632e-01 2.617785795956943384e-01
1.875000000000000000e+00 1.931568324072540643e-01 2.545250905256564167e-01
2.025000000000070521e+00 2.060394174989726435e-01 2.513383514174274969e-01
2.174999999999594813e+00 2.163359297239803858e-01 2.495232346474874907e-01
2.325000000000426059e+00 2.218164349718254047e-01 2.439129900545575769e-01
2.474999999999678124e+00 2.419209430531722715e-01 2.452426368055091177e-01
2.625000000000000000e+00 2.560163698242538532e-01 2.465291074763318602e-01
2.775000000000444444e+00 2.660284760151704342e-01 2.455977209042840281e-01
2.924999999999512212e+00 2.900128839443268380e-01 2.480533228482834640e-01
3.075000000000499334e+00 3.053207733665962986e-01 2.495032758468960499e-01
3.224999999999414779e+00 3.206469215675201156e-01 2.503176369506943666e-01
3.375000000000000000e+00 3.442205381409711440e-01 2.531453020875389370e-01
3.525000000000659384e+00 3.688370134431651626e-01 2.526512745628654022e-01
3.674999999999857714e+00 3.949843704720086834e-01 2.578597418074215497e-01
3.825000000000022382e+00 4.177992105098582987e-01 2.558364576766254950e-01
3.974999999999250466e+00 4.452646195106790272e-01 2.663403926814359446e-01
4.125000000000000000e+00 4.815968922614893843e-01 2.719939104859159795e-01
4.275000000000798828e+00 5.294207680477884814e-01 2.756654806819872072e-01
4.425000000000374634e+00 5.752381354458641072e-01 2.857984021773536387e-01
4.574999999999541878e+00 6.417092004766556945e-01 2.974073658814870291e-01
4.724999999999138112e+00 7.293811342573328638e-01 3.109468739247042701e-01
4.875000000000000000e+00 8.069647175596849076e-01 3.179271885133559961e-01
5.025000000000897415e+00 8.613414597695855379e-01 3.295285839974397279e-01
5.175000000000743228e+00 8.788247693318770315e-01 3.244246152962258489e-01
5.324999999999196376e+00 8.866945926953381241e-01 3.243390531689810952e-01
5.474999999999057287e+00 8.818377708283405836e-01 3.204347973497027047e-01
5.625000000000000000e+00 8.721222061622324606e-01 3.164520319257653758e-01
5.775000000000969358e+00 8.746442325377323801e-01 3.064026332056635771e-01
5.925000000001017675e+00 8.875514821765779772e-01 3.068048960216388510e-01
6.074999999998936140e+00 9.121750107944534003e-01 3.065627498069965484e-01
6.224999999998995115e+00 9.418519010152057724e-01 3.100371191946479366e-01
6.375000000000000000e+00 9.803171658425282597e-01 3.092668106407172046e-01
6.525000000001025313e+00 1.036616887944415311e+00 3.166201045855986940e-01
