# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.743346008453154127e+03 3.201421350240707397e-10
2.249999999999577616e-01 1.676126626234332841e-03 6.841047394147184435e-02
3.750000000000000000e-01 6.704506504937329412e-04 3.351750376762397537e-02
5.249999999999700462e-01 9.577866435624759556e-04 3.385101744978779442e-02
6.750000000001169509e-01 1.303654042626702959e-03 3.481896542767769914e-02
8.249999999998777200e-01 1.523751478394848096e-03 3.403973496248138830e-02
9.750000000001839418e-01 2.256324304546216894e-03 3.807395048525526876e-02
1.125000000000000000e+00 2.514189939351495900e-03 3.739678532385228710e-02
1.274999999999773648e+00 2.612785623247634338e-03 3.579593668239559878e-02
1.424999999999764455e+00 3.749230611313644768e-03 4.097263550279136440e-02
1.575000000000282396e+00 4.509578780106662625e-03 4.256021733524623096e-02
1.725000000000170397e+00 6.121505939290593397e-03 4.711509995133558032e-02
1.875000000000000000e+00 7.576092350579187625e-03 5.116072247698558173e-02
2.025000000000070521e+00 1.052235048691548165e-02 5.634669554288965904e-02
2.174999999999594813e+00 1.147279776922472891e-02 5.803402764285053167e-02
2.325000000000426059e+00 1.540955124118668224e-02 6.485814334045429674e-02
2.474999999999678124e+00 2.006272779886532007e-02 7.163594005022685951e-02
2.625000000000000000e+00 2.449539340911008334e-02 7.723636271033443301e-02
2.775000000000444444e+00 3.300157424896466019e-02 8.692792613688005154e-02
2.924999999999512212e+00 3.938897571650804702e-02 9.155405791056467346e-02
3.075000000000499334e+00 5.193948484464999682e-02 1.038182576973887411e-01
3.224999999999414779e+00 6.490118215535262136e-02 1.117832176883731127e-01
3.375000000000000000e+00 8.227919371892133960e-02 1.244689660319878155e-01
3.525000000000659384e+00 1.041694867070349917e-01 1.367315842727568342e-01
3.674999999999857714e+00 1.332691701185503286e-01 1.512447507759978882e-01
3.825000000000022382e+00 1.679084496751102606e-01 1.651236610586694353e-01
3.974999999999250466e+00 2.161254596921623472e-01 1.844298324341890061e-01
4.125000000000000000e+00 2.738181406675594953e-01 2.016475965137596305e-01
4.275000000000798828e+00 3.537950439217206200e-01 2.283464520154639965e-01
4.425000000000374634e+00 4.546706540604541491e-01 2.549646027090727851e-01
4.574999999999541878e+00 6.171855445108510585e-01 2.881469484629373690e-01
4.724999999999138112e+00 8.540264238431826138e-01 3.283593526219838465e-01
4.875000000000000000e+00 1.147592327855731398e+00 3.782331927623927004e-01
5.025000000000897415e+00 1.375324438863652299e+00 4.090906176312350540e-01
5.175000000000743228e+00 1.455873870870844744e+00 4.141848875345574554e-01
5.324999999999196376e+00 1.389508973148401605e+00 3.994177888694388501e-01
5.474999999999057287e+00 1.271537211427825609e+00 3.738705013369074126e-01
5.625000000000000000e+00 1.143285971754416819e+00 3.533333381783430038e-01
5.775000000000969358e+00 1.026366344029325139e+00 3.319500780306772758e-01
5.925000000001017675e+00 9.408480655322899455e-01 3.164836454628914830e-01
6.074999999998936140e+00 8.804320695025560362e-01 2.985089727016141392e-01
6.224999999998995115e+00 8.526435953358365571e-01 2.930832092651960985e-01
6.375000000000000000e+00 8.382802236217548053e-01 2.866722448654479005e-01
6.525000000001025313e+00 8.477540222320545382e-01 2.874270065258154316e-01
6.675000000001229949e+00 8.772922093244042152e-01 2.882197341377182309e-01
6.824999999998733635e+00 9.206632016374626248e-01 2.863787676536531102e-01
6.974999999999387690e+00 9.642774503594380153e-01 2.924381888378295713e-01
7.125000000000000000e+00 1.030764944819630546e+00 3.009901751066008657e-01
7.275000000000346745e+00 1.106615085917391772e+00 3.048133178897330930e-01
7.425000000001398703e+00 1.186807700091799589e+00 3.141150638126907757e-01
7.574999999998571099e+00 1.273200721069433605e+00 3.192853442285568111e-01
7.725000000000012079e+00 1.355498248402318584e+00 3.302270406826016691e-01
7.875000000000000000e+00 1.437877198648151555e+00 3.396809382198406335e-01
8.024999999999771205e+00 1.489340328185591034e+00 3.353072593649618072e-01
8.175000000001539036e+00 1.533617419733220633e+00 3.408423446866826190e-01
8.324999999998437872e+00 1.550704033824256811e+00 3.402542224724071085e-01
8.475000000000525446e+00 1.561734692238595068e+00 3.370015989434210213e-01
8.625000000000000000e+00 1.551065717396014065e+00 3.342345026671519337e-01
8.774999999999291589e+00 1.519458927221527755e+00 3.302573806889141927e-01
8.925000000001652722e+00 1.481660724846912691e+00 3.221960589392643404e-01
9.074999999998325961e+00 1.433573095446210699e+00 3.133884930217263332e-01
9.225000000000957101e+00 1.390592323284542298e+00 3.076172505143132119e-01
9.375000000000000000e+00 1.356200984831731793e+00 2.931545017716797874e-01
9.524999999998890132e+00 1.326099915071549340e+00 2.949188755852664157e-01
