# Radius RDF_mean RDF_std
7.500000000000896228e-02 8.380633131171660952e-04 5.925706210154282894e-02
2.249999999999577616e-01 5.587088754114442803e-04 2.793125313968189763e-02
3.750000000000000000e-01 6.704506504937329412e-04 2.369571221485072821e-02
5.249999999999700462e-01 1.017648308785130398e-03 2.466184368190745685e-02
6.750000000001169509e-01 6.052679483623978800e-04 1.677703719528583770e-02
8.249999999998777200e-01 1.180907395756006445e-03 2.117788446682020154e-02
9.750000000001839418e-01 1.547193808831691603e-03 2.227927746659540478e-02
1.125000000000000000e+00 1.396772188528608424e-03 1.970488660798807440e-02
1.274999999999773648e+00 2.095158282792912961e-03 2.262953522650163959e-02
1.424999999999764455e+00 2.624461427919553332e-03 2.411857029958672932e-02
1.575000000000282396e+00 3.232529922023360484e-03 2.534944998994358503e-02
1.725000000000170397e+00 3.698409838321400304e-03 2.595134117583168185e-02
1.875000000000000000e+00 5.380366470212185302e-03 3.001759821230754258e-02
2.025000000000070521e+00 6.813144341822855755e-03 3.269370160791364166e-02
2.174999999999594813e+00 8.395082498639284269e-03 3.489770835473593458e-02
2.325000000000426059e+00 1.134088902750508311e-02 3.886498267108892679e-02
2.474999999999678124e+00 1.362487780264720789e-02 4.161330446700835933e-02
2.625000000000000000e+00 1.653379193449744031e-02 4.454675551031201525e-02
2.775000000000444444e+00 2.201614973918546506e-02 5.037251096345789908e-02
2.924999999999512212e+00 2.803214338362522429e-02 5.483478096719480305e-02
3.075000000000499334e+00 3.448323924947959557e-02 6.004859660677190625e-02
3.224999999999414779e+00 4.465123372910391464e-02 6.637430576317514264e-02
3.375000000000000000e+00 5.668101541048810310e-02 7.350341231457453717e-02
3.525000000000659384e+00 7.005852674973012117e-02 7.956661636438892848e-02
3.674999999999857714e+00 8.954449950663517788e-02 8.854582358783887053e-02
3.825000000000022382e+00 1.146667803711992895e-01 9.761984268809198451e-02
3.974999999999250466e+00 1.443603588132662818e-01 1.068633962735709431e-01
4.125000000000000000e+00 1.834368217265709977e-01 1.202825322266159319e-01
4.275000000000798828e+00 2.368337517138850989e-01 1.322983184787291933e-01
4.425000000000374634e+00 3.099555856869465331e-01 1.497460881543990208e-01
4.574999999999541878e+00 4.143879614793372634e-01 1.671274545538368184e-01
4.724999999999138112e+00 5.747983607640548831e-01 1.947068391901198570e-01
4.875000000000000000e+00 7.688392834537248755e-01 2.214020410589426224e-01
5.025000000000897415e+00 9.277736128437140684e-01 2.436965470950161194e-01
5.175000000000743228e+00 9.744004245626041172e-01 2.414526897772280301e-01
5.324999999999196376e+00 9.365298505541883589e-01 2.336882960770502449e-01
5.474999999999057287e+00 8.561849972234211181e-01 2.226363927108110374e-01
5.625000000000000000e+00 7.672748986025308415e-01 2.063802294806694748e-01
5.775000000000969358e+00 6.914566530172833181e-01 1.924946848880968453e-01
5.925000000001017675e+00 6.288604325307602938e-01 1.828970208647152651e-01
6.074999999998936140e+00 5.935454084394258256e-01 1.768898652196620458e-01
6.224999999998995115e+00 5.712108279278184098e-01 1.720747623433715456e-01
6.375000000000000000e+00 5.710612713422366093e-01 1.695040199718460538e-01
