# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.743346846516467394e+03 8.380633131170406314e-02
2.249999999999577616e-01 1.396772188528610592e-03 6.245305689280811201e-02
3.750000000000000000e-01 6.704506504937329412e-04 3.351750376762419048e-02
5.249999999999700462e-01 9.577866435624759556e-04 3.385101744978695482e-02
6.750000000001169509e-01 2.141717355743869705e-03 4.460874321974345191e-02
8.249999999998777200e-01 1.828501774073816935e-03 3.728118870319004075e-02
9.750000000001839418e-01 1.676126626234332407e-03 3.283043244638499114e-02
1.125000000000000000e+00 2.123093726563485967e-03 3.437735301794917625e-02
1.274999999999773648e+00 3.155061884676387506e-03 3.931384671483688364e-02
1.424999999999764455e+00 3.837447802168084468e-03 4.143673297371500142e-02
1.575000000000282396e+00 6.065982075895689184e-03 4.915384347204274085e-02
1.725000000000170397e+00 7.068881858466519175e-03 5.104590496070895989e-02
1.875000000000000000e+00 8.447678196221029140e-03 5.339199749588551674e-02
2.025000000000070521e+00 1.142249256396724727e-02 5.958395630255722969e-02
2.174999999999594813e+00 1.502734216623898347e-02 6.596352590239301650e-02
2.325000000000426059e+00 1.889697599577117026e-02 7.133236719254466840e-02
2.474999999999678124e+00 2.333879347741418461e-02 7.655253558042846018e-02
2.625000000000000000e+00 3.182246123236356916e-02 8.819081548056564857e-02
2.775000000000444444e+00 3.787140160896949187e-02 9.291170417371336088e-02
2.924999999999512212e+00 4.974657871452071306e-02 1.036679140430336182e-01
3.075000000000499334e+00 6.350884667939087069e-02 1.152324143007019824e-01
3.224999999999414779e+00 7.850509361013956189e-02 1.230808385018816037e-01
3.375000000000000000e+00 1.048882795439030624e-01 1.395024919366313898e-01
3.525000000000659384e+00 1.314154599504997467e-01 1.544386567661473197e-01
3.674999999999857714e+00 1.677836959526466665e-01 1.690232391292864067e-01
3.825000000000022382e+00 2.063114685526496461e-01 1.823576343487912088e-01
3.974999999999250466e+00 2.661878832644153370e-01 2.040007051733828958e-01
4.125000000000000000e+00 3.396746795637897165e-01 2.275745803917621490e-01
4.275000000000798828e+00 4.429679210104202070e-01 2.516053580538643031e-01
4.425000000000374634e+00 5.704512314370423498e-01 2.840308886797919263e-01
4.574999999999541878e+00 7.691635177846496418e-01 3.246005852885936460e-01
4.724999999999138112e+00 1.073279749665371874e+00 3.779403140084369173e-01
4.875000000000000000e+00 1.449746385438837937e+00 4.239574818732960160e-01
5.025000000000897415e+00 1.741320446950353817e+00 4.594915141952196636e-01
5.175000000000743228e+00 1.833573216494143177e+00 4.626541122829744834e-01
5.324999999999196376e+00 1.739984689952283725e+00 4.512739824987527237e-01
5.474999999999057287e+00 1.581976527181302661e+00 4.264041917202838761e-01
5.625000000000000000e+00 1.410840478011461396e+00 3.984085576681901109e-01
5.775000000000969358e+00 1.258814632058446348e+00 3.659816803294739795e-01
5.925000000001017675e+00 1.144571709394329284e+00 3.447418910118388857e-01
6.074999999998936140e+00 1.054469884193223406e+00 3.260377788330718896e-01
6.224999999998995115e+00 1.006907827839456759e+00 3.136743063631777795e-01
6.375000000000000000e+00 9.814805949125018358e-01 3.094653299765303678e-01
6.525000000001025313e+00 9.848303549407638746e-01 3.054872529050160490e-01
6.675000000001229949e+00 1.005845471691547033e+00 3.098630411181436672e-01
6.824999999998733635e+00 1.043812461230904987e+00 3.085912707397045485e-01
6.974999999999387690e+00 1.089455272752049897e+00 3.141241915867022949e-01
7.125000000000000000e+00 1.152628172265953266e+00 3.193785277179848059e-01
7.275000000000346745e+00 1.233033048778527041e+00 3.259766751604115664e-01
7.425000000001398703e+00 1.321312629204098865e+00 3.329399578206869714e-01
7.574999999998571099e+00 1.402486508016727917e+00 3.405344995195212499e-01
7.725000000000012079e+00 1.487415923116580441e+00 3.488872785977595870e-01
7.875000000000000000e+00 1.565270803797333521e+00 3.566523784298081812e-01
8.024999999999771205e+00 1.628404011591154221e+00 3.539689103559216510e-01
8.175000000001539036e+00 1.667630663289477289e+00 3.543898567532764998e-01
8.324999999998437872e+00 1.691710073786251378e+00 3.570230871237423664e-01
8.475000000000525446e+00 1.688771740826040091e+00 3.517865723070067174e-01
8.625000000000000000e+00 1.670325770606127858e+00 3.503017813172679129e-01
8.774999999999291589e+00 1.639574172500660065e+00 3.468300390419168377e-01
8.925000000001652722e+00 1.588827190693150371e+00 3.326117183721447046e-01
9.074999999998325961e+00 1.537001190113799654e+00 3.271455417586439651e-01
9.225000000000957101e+00 1.485688661993268767e+00 3.175999908378194236e-01
9.375000000000000000e+00 1.443205365746301316e+00 3.103614742834256979e-01
9.524999999998890132e+00 1.404488530004767144e+00 3.090372478638122034e-01
9.675000000001750422e+00 1.369408446863120687e+00 2.946977572672815349e-01
9.824999999998231814e+00 1.340012058235371839e+00 2.929265753485271739e-01
9.975000000001321254e+00 1.288084408577336415e+00 2.838787079439885064e-01
1.012500000000000000e+01 1.233138774673384397e+00 2.790473642169959412e-01
1.027499999999854730e+01 1.171802146502097353e+00 2.688716313490693843e-01
1.042500000000183391e+01 1.110005814374950273e+00 2.581785786974351016e-01
1.057499999999815010e+01 1.055133598637399306e+00 2.495786951660287634e-01
1.072500000000163745e+01 1.001960366366401400e+00 2.436157743759543026e-01
1.087500000000000000e+01 9.634318050125051380e-01 2.361580687848109095e-01
1.102499999999824887e+01 9.411222961866830827e-01 2.300213962794950551e-01
1.117500000000190674e+01 9.294290880049336234e-01 2.284797763944678706e-01
1.132499999999808082e+01 9.274419329478822416e-01 2.274800476094322177e-01
