# Radius RDF_mean RDF_std
7.500000000000896228e-02 3.117316433024486244e-01 1.088976519635261431e+00
2.249999999999577616e-01 3.180518740107080022e-01 6.292527632521383030e-01
3.750000000000000000e-01 3.123522237232337351e-01 4.901829076575507926e-01
5.249999999999700462e-01 3.125089889154611389e-01 4.093472052551411777e-01
6.750000000001169509e-01 3.255612640886089704e-01 3.692065903082354938e-01
8.249999999998777200e-01 3.286470455121687784e-01 3.378319494881181217e-01
9.750000000001839418e-01 3.359745051525000470e-01 3.118521659332714191e-01
1.125000000000000000e+00 3.407889159359581699e-01 2.938746734845676389e-01
1.274999999999773648e+00 3.549739480829329774e-01 2.800776912528156193e-01
1.424999999999764455e+00 3.690393483347050863e-01 2.739516795223322365e-01
1.575000000000282396e+00 3.778078597866884603e-01 2.622984663269709582e-01
1.725000000000170397e+00 3.929272786046678623e-01 2.528124621378247117e-01
1.875000000000000000e+00 4.082495796470557714e-01 2.472709917656834289e-01
2.025000000000070521e+00 4.257872418565721295e-01 2.452977957680942400e-01
2.174999999999594813e+00 4.464039172557772162e-01 2.378150101242511583e-01
2.325000000000426059e+00 4.661481969674987069e-01 2.381389230432991166e-01
2.474999999999678124e+00 4.930875861693618245e-01 2.353989013791548679e-01
2.625000000000000000e+00 5.104801977277469982e-01 2.366069703741149610e-01
2.775000000000444444e+00 5.418271787285379171e-01 2.337709253015413935e-01
2.924999999999512212e+00 5.705114299689061363e-01 2.340344040938688308e-01
3.075000000000499334e+00 5.984976488740118006e-01 2.349404965313539873e-01
3.224999999999414779e+00 6.277387325630922055e-01 2.323574877752589141e-01
3.375000000000000000e+00 6.648448693496509243e-01 2.348199756847714759e-01
3.525000000000659384e+00 7.087033004973390948e-01 2.374100137881702266e-01
3.674999999999857714e+00 7.515183121375705877e-01 2.407197744474982581e-01
3.825000000000022382e+00 7.952570380261911875e-01 2.431379956754657068e-01
3.974999999999250466e+00 8.474428253528801802e-01 2.431102881555153861e-01
4.125000000000000000e+00 9.227252936407879247e-01 2.452827626476877521e-01
4.275000000000798828e+00 9.843175041960126048e-01 2.560585842879983809e-01
4.425000000000374634e+00 1.036933824533039505e+00 2.583864442898605729e-01
4.574999999999541878e+00 1.043184406378004470e+00 2.528882881473896171e-01
4.724999999999138112e+00 1.018033824891805494e+00 2.445941320140150865e-01
