# Radius RDF_mean RDF_std
7.500000000000896228e-02 9.122557510540785231e-02 5.856830755989407278e-01
2.249999999999577616e-01 8.613690658568889935e-02 3.234233975447120546e-01
3.750000000000000000e-01 9.106689040634149968e-02 2.595657791708127493e-01
5.249999999999700462e-01 8.542087138739720698e-02 2.123721578701631418e-01
6.750000000001169509e-01 8.983214049079336905e-02 1.966271906978863115e-01
8.249999999998777200e-01 9.092232646375694727e-02 1.755291755199487880e-01
9.750000000001839418e-01 9.214226032362507479e-02 1.642547354374619961e-01
1.125000000000000000e+00 9.610405622141467152e-02 1.580156754529600249e-01
1.274999999999773648e+00 9.843343121787118122e-02 1.484263228995229555e-01
1.424999999999764455e+00 1.047000231108940055e-01 1.446332892758596111e-01
1.575000000000282396e+00 1.073704506475350179e-01 1.371158587579788535e-01
1.725000000000170397e+00 1.152081231857202959e-01 1.367143187687170081e-01
1.875000000000000000e+00 1.190180491686485681e-01 1.332532090615150266e-01
2.025000000000070521e+00 1.272060327079090059e-01 1.331247891655191751e-01
2.174999999999594813e+00 1.372878202516763513e-01 1.337655844840419939e-01
2.325000000000426059e+00 1.471436949441892461e-01 1.339158392670752595e-01
2.474999999999678124e+00 1.604393382341170737e-01 1.355742816894534852e-01
2.625000000000000000e+00 1.804549937973868590e-01 1.394941126771378770e-01
2.775000000000444444e+00 1.990852331623882143e-01 1.464041921605418184e-01
2.924999999999512212e+00 2.233129279437110759e-01 1.471678024759869863e-01
3.075000000000499334e+00 2.597707451558864955e-01 1.539522397141075416e-01
3.224999999999414779e+00 2.923803482528556374e-01 1.591449919674717273e-01
3.375000000000000000e+00 3.445899857825196477e-01 1.712398054636939670e-01
3.525000000000659384e+00 4.066642182166217978e-01 1.807224738641645401e-01
3.674999999999857714e+00 4.867292947442572459e-01 1.918786455649735267e-01
3.825000000000022382e+00 5.953174756722532379e-01 2.087156631304375454e-01
3.974999999999250466e+00 7.560318823164835500e-01 2.315520890429884071e-01
4.125000000000000000e+00 9.918760181077362903e-01 2.565107230201594812e-01
4.275000000000798828e+00 1.286309237666725780e+00 2.908454307844372533e-01
4.425000000000374634e+00 1.501649903659287855e+00 3.083468477884964143e-01
4.574999999999541878e+00 1.548005087530750279e+00 3.063468904033624929e-01
4.724999999999138112e+00 1.471498053947299711e+00 2.974421028694000380e-01
4.875000000000000000e+00 1.344998172725683894e+00 2.762556297971016650e-01
5.025000000000897415e+00 1.233380164455110783e+00 2.631284730602296285e-01
5.175000000000743228e+00 1.131653779322592701e+00 2.448054631342416465e-01
5.324999999999196376e+00 1.065376765692229721e+00 2.349550992419376649e-01
5.474999999999057287e+00 1.029662511235944766e+00 2.301932495629891717e-01
5.625000000000000000e+00 1.031709205005269192e+00 2.255920569625646521e-01
5.775000000000969358e+00 1.058743055188960058e+00 2.253544819514951836e-01
5.925000000001017675e+00 1.118020133850410325e+00 2.293034316138966022e-01
6.074999999998936140e+00 1.193911191137889904e+00 2.304356986664127527e-01
6.224999999998995115e+00 1.219427060235443561e+00 2.321720838914804741e-01
6.375000000000000000e+00 1.200701380214367342e+00 2.261317255787274605e-01
6.525000000001025313e+00 1.134382083138543162e+00 2.191464189732100221e-01
6.675000000001229949e+00 1.063944338975735704e+00 2.086179428928553181e-01
6.824999999998733635e+00 1.007831191423040007e+00 1.999498787937107613e-01
6.974999999999387690e+00 9.682661784445668607e-01 1.948881960260869795e-01
7.125000000000000000e+00 9.425792080844147547e-01 1.915438515213807591e-01
7.275000000000346745e+00 9.369555776067222119e-01 1.893535606276094962e-01
7.425000000001398703e+00 9.359413927345876516e-01 1.883483167981402084e-01
7.574999999998571099e+00 9.463063473156863026e-01 1.863324417468603666e-01
7.725000000000012079e+00 9.494279279073030153e-01 1.858886334057731071e-01
7.875000000000000000e+00 9.498130035271392657e-01 1.824658538700841548e-01
8.024999999999771205e+00 9.448383788946661532e-01 1.811901334215155479e-01
8.175000000001539036e+00 9.395538014256015202e-01 1.782620036452070011e-01
8.324999999998437872e+00 9.416149626514497273e-01 1.773225751673723760e-01
8.475000000000525446e+00 9.518960151316852025e-01 1.772450777404018241e-01
8.625000000000000000e+00 9.696689071682684791e-01 1.777861079146429713e-01
8.774999999999291589e+00 9.798709152127754729e-01 1.768977722455573609e-01
8.925000000001652722e+00 1.003447599999262252e+00 1.777984631994279918e-01
9.074999999998325961e+00 1.018474262557137688e+00 1.786338063212447869e-01
9.225000000000957101e+00 1.033653858601188080e+00 1.777816635544902935e-01
9.375000000000000000e+00 1.041690363261747354e+00 1.756033974491791605e-01
9.524999999998890132e+00 1.047850790103213914e+00 1.764896413131114838e-01
9.675000000001750422e+00 1.048827016288467862e+00 1.729069284067925039e-01
9.824999999998231814e+00 1.047331239455173035e+00 1.715871931525991545e-01
9.975000000001321254e+00 1.050139478793447489e+00 1.705251562609525207e-01
1.012500000000000000e+01 1.046088072390592760e+00 1.687824016496879964e-01
1.027499999999854730e+01 1.045295630948830601e+00 1.669683979686119868e-01
1.042500000000183391e+01 1.042247560687223462e+00 1.654711910996425062e-01
1.057499999999815010e+01 1.038866816066884358e+00 1.644878513881918858e-01
1.072500000000163745e+01 1.032098484794945259e+00 1.603134808181393700e-01
1.087500000000000000e+01 1.027544334981533192e+00 1.615627954856387327e-01
1.102499999999824887e+01 1.021803555373151706e+00 1.606380409368605433e-01
1.117500000000190674e+01 1.018164046867456651e+00 1.615632740589643956e-01
1.132499999999808082e+01 1.007853379910234715e+00 1.579586710974424657e-01
1.147500000000190923e+01 1.003310285116737699e+00 1.563683885793169526e-01
1.162500000000000000e+01 9.954829951279307032e-01 1.562370435950708181e-01
1.177499999999798952e+01 9.884657202105519014e-01 1.541308401333491007e-01
1.192500000000196891e+01 9.832254678900301803e-01 1.524097497814000945e-01
1.207499999999801865e+01 9.787025329023149034e-01 1.509208345139806950e-01
1.222500000000215081e+01 9.760035110882124831e-01 1.486933020873314748e-01
1.237500000000000000e+01 9.717752510758825846e-01 1.486518286386867838e-01
1.252499999999776215e+01 9.717798352671476181e-01 1.482173176461615283e-01
1.267500000000202398e+01 9.742014202684446955e-01 1.460728812341140492e-01
1.282499999999796536e+01 9.771965165916863816e-01 1.472048227307293233e-01
1.297500000000236220e+01 9.793520756786020520e-01 1.455942528834456295e-01
1.312500000000000000e+01 9.827043260511674205e-01 1.442029304479645058e-01
1.327499999999756142e+01 9.851676766249829464e-01 1.438018034132726164e-01
1.342500000000173088e+01 9.906398260736470895e-01 1.411596798169729716e-01
1.357499999999841833e+01 9.944925243577409368e-01 1.415235216862437695e-01
1.372500000000255049e+01 9.952017709194416195e-01 1.446932209871449881e-01
1.387500000000000000e+01 1.002954272518641332e+00 1.423511588580312626e-01
1.402499999999738023e+01 1.003915404134841038e+00 1.408439942414011770e-01
1.417500000000102034e+01 1.009465826945825428e+00 1.400050037860599006e-01
1.432499999999911111e+01 1.009841961160265367e+00 1.414597448385874756e-01
1.447500000000271925e+01 1.011236744599241399e+00 1.410313723472619296e-01
1.462500000000000000e+01 1.011187548039255812e+00 1.389641194736566387e-01
1.477499999999721680e+01 1.012452119453545185e+00 1.376587413042896779e-01
1.492500000000038618e+01 1.016976190456126750e+00 1.370942481384312961e-01
1.507499999999973639e+01 1.012632315475811895e+00 1.380327019375802156e-01
1.522500000000287201e+01 1.012624139447364069e+00 1.355209681046267156e-01
1.537500000000000000e+01 1.009181822090554403e+00 1.354132767781164870e-01
1.552499999999706937e+01 1.012716278029716976e+00 1.354180163932541536e-01
