# Radius RDF_mean RDF_std
7.500000000000896228e-02 8.078287274807056852e-04 4.663538002734741311e-02
2.249999999999577616e-01 3.591811768766006350e-04 1.795637817335300757e-02
3.750000000000000000e-01 6.999434464556012923e-04 1.940130626092143734e-02
5.249999999999700462e-01 8.847965798360730126e-04 1.842899591817810309e-02
6.750000000001169509e-01 7.473818732039781785e-04 1.492970376995865316e-02
8.249999999998777200e-01 1.199065574408369637e-03 1.708836186685021644e-02
9.750000000001839418e-01 1.676939842664957681e-03 1.855800162572319306e-02
1.125000000000000000e+00 1.956201297858692865e-03 1.880661432980870046e-02
1.274999999999773648e+00 2.248811184324519923e-03 1.939568350806994759e-02
1.424999999999764455e+00 2.862371339504503776e-03 2.033553212212697858e-02
1.575000000000282396e+00 4.063768277071628382e-03 2.296718989200826136e-02
1.725000000000170397e+00 5.865111944107974200e-03 2.601824993707529607e-02
1.875000000000000000e+00 8.573301251520854677e-03 3.028640227092858905e-02
2.025000000000070521e+00 1.201722229397573019e-02 3.483210637159956519e-02
2.174999999999594813e+00 1.696297693714710411e-02 3.975502766596340082e-02
2.325000000000426059e+00 2.432864116785562678e-02 4.557082084521873327e-02
2.474999999999678124e+00 3.511015582763045428e-02 5.389097258144843333e-02
2.625000000000000000e+00 5.052830501417120146e-02 6.175205972131795479e-02
2.775000000000444444e+00 7.586156200272038685e-02 7.454743703701675883e-02
2.924999999999512212e+00 1.082237170387345682e-01 8.617851924824501686e-02
3.075000000000499334e+00 1.590900484819897931e-01 1.028685321890291243e-01
3.224999999999414779e+00 2.274782752580108425e-01 1.189720402903105684e-01
3.375000000000000000e+00 3.226126208453140576e-01 1.379941055517980852e-01
3.525000000000659384e+00 4.565476082616832798e-01 1.596892276010682399e-01
3.674999999999857714e+00 6.327464300924995344e-01 1.844761432134124635e-01
3.825000000000022382e+00 8.550949638792981755e-01 2.103954403693410191e-01
3.974999999999250466e+00 1.135574590296149600e+00 2.347766211821505078e-01
4.125000000000000000e+00 1.487425382809387964e+00 2.585666578690725692e-01
4.275000000000798828e+00 1.837749981865701709e+00 2.832543500185750740e-01
4.425000000000374634e+00 2.009785096643212476e+00 2.914629333653640519e-01
4.574999999999541878e+00 1.969061788360000342e+00 2.860867709636252254e-01
4.724999999999138112e+00 1.767505433082504185e+00 2.689664932615307147e-01
4.875000000000000000e+00 1.542543543849279386e+00 2.442625002861761596e-01
5.025000000000897415e+00 1.343030318931300870e+00 2.279749708664810526e-01
5.175000000000743228e+00 1.192829781094359554e+00 2.128672168456983704e-01
5.324999999999196376e+00 1.104122115555463468e+00 1.998063248051763219e-01
5.474999999999057287e+00 1.063641386560707058e+00 1.983905385056865533e-01
5.625000000000000000e+00 1.072962710571865985e+00 1.941567763038102579e-01
5.775000000000969358e+00 1.108320602870073390e+00 1.936234156312781063e-01
5.925000000001017675e+00 1.144747811723795694e+00 1.951544489713214481e-01
6.074999999998936140e+00 1.152183318342995033e+00 1.913915900484151333e-01
6.224999999998995115e+00 1.123812308644845714e+00 1.870804736106403410e-01
6.375000000000000000e+00 1.049510123262947570e+00 1.794525542083654501e-01
6.525000000001025313e+00 9.716489172625155657e-01 1.699101076552411160e-01
6.675000000001229949e+00 9.106435759052973200e-01 1.634165108482855955e-01
6.824999999998733635e+00 8.711141774813639937e-01 1.582614339712199170e-01
6.974999999999387690e+00 8.694346318388408434e-01 1.591544501166156922e-01
7.125000000000000000e+00 8.951096858417084690e-01 1.599086588085564531e-01
7.275000000000346745e+00 9.373778186777789179e-01 1.597068998065048762e-01
7.425000000001398703e+00 9.840905040208886012e-01 1.593278995634406503e-01
7.574999999998571099e+00 1.035140093734158828e+00 1.635715379063868435e-01
7.725000000000012079e+00 1.071992529908232017e+00 1.659779422844954999e-01
7.875000000000000000e+00 1.085927245505054595e+00 1.631920959158172368e-01
8.024999999999771205e+00 1.078884469481006247e+00 1.633156395327491350e-01
8.175000000001539036e+00 1.071071372396493082e+00 1.622211349426087301e-01
8.324999999998437872e+00 1.062889672097371729e+00 1.594391991093201122e-01
8.475000000000525446e+00 1.061123501730792285e+00 1.572588727781045748e-01
8.625000000000000000e+00 1.058445330687769470e+00 1.544294854023760266e-01
8.774999999999291589e+00 1.060312608482426366e+00 1.547285410750079415e-01
8.925000000001652722e+00 1.062193599096885821e+00 1.532349283734115442e-01
9.074999999998325961e+00 1.055481058010293349e+00 1.529565768156700145e-01
9.225000000000957101e+00 1.050151817556765010e+00 1.498370972207296037e-01
9.375000000000000000e+00 1.038233902822188082e+00 1.497403911608289340e-01
9.524999999998890132e+00 1.023792028986438618e+00 1.456738006271004193e-01
9.675000000001750422e+00 1.009232703427855649e+00 1.446816225496535269e-01
9.824999999998231814e+00 9.925239385244056800e-01 1.419241029720680336e-01
9.975000000001321254e+00 9.782656401654660216e-01 1.376781850378795691e-01
1.012500000000000000e+01 9.641342309121960774e-01 1.388132883597421319e-01
1.027499999999854730e+01 9.551007022865073415e-01 1.340924479008115955e-01
1.042500000000183391e+01 9.425500072291702613e-01 1.352728495365294881e-01
1.057499999999815010e+01 9.351421131960893085e-01 1.330442157343912912e-01
1.072500000000163745e+01 9.294333208062200979e-01 1.316994563933025497e-01
1.087500000000000000e+01 9.246314577985683680e-01 1.305549419650385845e-01
1.102499999999824887e+01 9.228406222490355137e-01 1.302652335155307928e-01
1.117500000000190674e+01 9.240059892751046888e-01 1.303618270495470188e-01
1.132499999999808082e+01 9.313606017818747418e-01 1.303969825258670667e-01
1.147500000000190923e+01 9.358852731630221689e-01 1.273449188739050331e-01
1.162500000000000000e+01 9.408538300690940659e-01 1.276763922878330071e-01
1.177499999999798952e+01 9.474310538167501905e-01 1.277404813276912798e-01
1.192500000000196891e+01 9.528791203811600719e-01 1.277959150270334687e-01
1.207499999999801865e+01 9.624597148025849647e-01 1.260628104856372500e-01
1.222500000000215081e+01 9.698234184652781975e-01 1.251665014766052686e-01
1.237500000000000000e+01 9.789474546532889176e-01 1.256446799251019486e-01
1.252499999999776215e+01 9.851300428949052446e-01 1.264655917795195206e-01
1.267500000000202398e+01 9.925992136763486240e-01 1.256828154230343053e-01
1.282499999999796536e+01 9.991688920060161072e-01 1.246391787368550247e-01
1.297500000000236220e+01 1.001472696522460293e+00 1.233269883818886026e-01
1.312500000000000000e+01 1.001838008775892908e+00 1.234817661016636703e-01
1.327499999999756142e+01 1.004812760393335669e+00 1.212165117151761257e-01
1.342500000000173088e+01 1.000767503080092213e+00 1.204068594728826547e-01
1.357499999999841833e+01 1.005203795316267135e+00 1.214304065022419887e-01
1.372500000000255049e+01 1.002445813237637706e+00 1.196870144971711597e-01
1.387500000000000000e+01 1.008369795681234971e+00 1.221262884409795579e-01
1.402499999999738023e+01 1.012578290035112127e+00 1.206161375495243965e-01
1.417500000000102034e+01 1.017298570372603628e+00 1.191404941525718297e-01
1.432499999999911111e+01 1.017242963393547139e+00 1.185998633362797122e-01
1.447500000000271925e+01 1.020438245166946256e+00 1.174950095301947744e-01
1.462500000000000000e+01 1.024226568693116235e+00 1.179625779787253359e-01
1.477499999999721680e+01 1.025490400218480591e+00 1.198020352248013176e-01
1.492500000000038618e+01 1.024701297269805300e+00 1.166688852049249103e-01
1.507499999999973639e+01 1.022926591384247352e+00 1.155284701599947617e-01
1.522500000000287201e+01 1.020946090168788567e+00 1.180039627803280977e-01
1.537500000000000000e+01 1.014699816399782240e+00 1.124798312532970107e-01
1.552499999999706937e+01 1.011374426676709959e+00 1.146536197672712587e-01
1.567499999999980886e+01 1.006109855306288603e+00 1.136910510959397158e-01
1.582500000000029772e+01 1.000402724706548119e+00 1.119982874639872117e-01
1.597500000000300879e+01 9.941746527275041601e-01 1.109419433376250957e-01
1.612500000000000000e+01 9.884943550800635581e-01 1.096117005276342898e-01
1.627499999999693969e+01 9.861585923903767315e-01 1.098723596635955424e-01
1.642499999999928662e+01 9.835471957988183300e-01 1.079266250435172714e-01
1.657500000000081286e+01 9.792637532777775933e-01 1.066505155186394799e-01
1.672500000000313847e+01 9.777462060899192453e-01 1.075886022548552534e-01
1.687500000000000000e+01 9.789631945797021562e-01 1.062232537819541578e-01
1.702499999999681535e+01 9.814764048400733687e-01 1.065036974217884319e-01
1.717499999999880700e+01 9.822275854467081846e-01 1.065309591342111090e-01
1.732500000000128182e+01 9.830798358894842215e-01 1.062933427978344225e-01
1.747500000000325215e+01 9.871059189442358273e-01 1.058372610253067725e-01
1.762500000000000000e+01 9.881734399400428082e-01 1.059548151380168557e-01
1.777499999999670521e+01 9.918325764814933665e-01 1.058357527258191738e-01
1.792499999999837357e+01 9.932665670901523747e-01 1.067100446089808558e-01
1.807500000000171170e+01 9.948548941734407514e-01 1.036024345287353127e-01
1.822500000000335874e+01 9.971918881536515622e-01 1.047256764538719437e-01
1.837500000000000000e+01 9.981362864929944623e-01 1.034535690703852068e-01
1.852499999999660218e+01 1.001237670689948844e+00 1.038083431112214183e-01
1.867499999999797211e+01 1.001925954946444097e+00 1.034339779265747300e-01
1.882500000000210960e+01 1.006141537801999553e+00 1.025479947368908018e-01
1.897500000000345466e+01 1.005774070483707927e+00 1.025058300271507461e-01
1.912500000000000000e+01 1.005713185656978315e+00 1.018866002297258294e-01
1.927499999999650626e+01 1.006497029794544806e+00 1.024200738254324172e-01
1.942499999999759908e+01 1.008680507633659795e+00 1.014193041067427414e-01
1.957500000000247198e+01 1.005386267523318944e+00 1.007159923572600452e-01
1.972500000000354348e+01 1.006375661071292615e+00 9.997023279116451500e-02
1.987500000000000000e+01 1.002580073007580008e+00 1.001358543552071656e-01
2.002499999999642100e+01 1.002656114865050574e+00 9.941819625525034898e-02
2.017499999999725446e+01 9.992234143699159077e-01 9.851167287744543033e-02
2.032500000000281304e+01 9.961228052233035424e-01 9.909274699793867158e-02
2.047500000000362874e+01 9.950010931653804347e-01 9.875877694921551819e-02
2.062500000000000000e+01 9.906541548623909454e-01 9.694145496307710053e-02
2.077499999999633928e+01 9.876813909379159595e-01 9.534199476406195195e-02
2.092499999999693472e+01 9.855389202011158867e-01 9.736256661835139548e-02
2.107500000000312212e+01 9.867812804369539004e-01 9.624794169515532571e-02
2.122500000000370690e+01 9.844291961952282843e-01 9.602067717816353820e-02
2.137500000000000000e+01 9.844347863102744789e-01 9.485969588639783789e-02
2.152499999999626468e+01 9.836393040875178739e-01 9.488401132896134849e-02
2.167499999999663984e+01 9.857523433484827180e-01 9.521805377029535222e-02
2.182500000000341700e+01 9.871013301029191167e-01 9.427996845603207887e-02
2.197500000000377796e+01 9.896106745429538165e-01 9.467953836216203012e-02
2.212500000000000000e+01 9.895484047528156912e-01 9.370613070497331443e-02
2.227499999999619718e+01 9.914802681203161994e-01 9.364699791744049429e-02
2.242499999999636273e+01 9.953940141246598872e-01 9.344495469001649901e-02
2.257500000000369056e+01 9.962923053721983724e-01 9.299407705636784927e-02
2.272500000000384546e+01 9.968242320068380069e-01 9.254399669106951054e-02
2.287500000000000000e+01 9.997996060039193722e-01 9.378505484245110158e-02
2.302499999999612967e+01 1.001525619258212929e+00 9.272001516745667637e-02
2.317499999999610338e+01 1.004053472847290296e+00 9.264069370579498808e-02
2.332500000000394635e+01 1.005376155761593671e+00 9.197320259908002560e-02
2.347500000000390941e+01 1.008703690379660900e+00 9.258974774374915950e-02
2.362500000000000000e+01 1.009500827951929969e+00 9.115416519964034126e-02
2.377499999999606928e+01 1.010075286190275312e+00 9.235698126947496089e-02
2.392499999999586180e+01 1.010181802332477119e+00 9.091859461102784479e-02
2.407500000000418439e+01 1.010257131139098430e+00 9.094254019097219865e-02
2.422500000000396625e+01 1.010898999334346238e+00 9.109821428546462097e-02
2.437500000000000000e+01 1.008271628439640688e+00 9.020083821940544366e-02
2.452499999999600888e+01 1.006761137501650305e+00 9.044757203498790532e-02
2.467499999999563087e+01 1.006815754235386384e+00 9.060592533274164362e-02
2.482500000000441176e+01 1.001882886994696298e+00 8.927796329780633700e-02
2.497500000000402309e+01 1.003169431047843174e+00 8.819472344019332888e-02
2.512500000000000000e+01 9.999360001176048618e-01 8.970079640482940542e-02
2.527499999999595559e+01 1.000784111751078509e+00 8.910147862864896406e-02
2.542499999999541771e+01 9.976756789297513972e-01 8.684003108982307761e-02
2.557500000000462137e+01 9.961374889130262256e-01 8.743715866139596671e-02
2.572500000000407638e+01 9.968889771355257112e-01 8.727524408355692709e-02
2.587500000000000000e+01 9.951552932628714432e-01 8.684794822162252015e-02
2.602499999999590585e+01 9.937395121864734948e-01 8.633879464740250309e-02
2.617499999999521521e+01 9.946284980499746631e-01 8.724986267315165689e-02
2.632500000000482032e+01 9.950508529610873065e-01 8.633653822113758480e-02
2.647500000000383480e+01 9.939315693562588150e-01 8.651945553655088217e-02
2.662500000000000000e+01 9.930014458864390159e-01 8.587827383062923703e-02
2.677499999999647073e+01 9.929109892654438552e-01 8.584667729408648751e-02
2.692499999999502691e+01 9.948567919741865273e-01 8.557232061381721266e-02
2.707500000000501217e+01 9.960273304154706464e-01 8.523088197058857618e-02
2.722500000000308873e+01 9.973561436823894510e-01 8.617181697423582920e-02
2.737500000000000000e+01 9.965916887860900575e-01 8.422719504549878999e-02
2.752499999999719549e+01 9.982276898506704521e-01 8.484312116584011298e-02
2.767499999999484928e+01 9.982892335580597631e-01 8.488978615381576054e-02
2.782500000000518625e+01 9.975315596131998364e-01 8.486123188166216913e-02
2.797500000000238529e+01 1.000027701809945269e+00 8.571617705816382549e-02
2.812500000000000000e+01 9.985072208553545936e-01 8.380463889548400713e-02
2.827499999999788827e+01 9.991289195945936008e-01 8.387310482558822666e-02
2.842499999999467164e+01 1.000690534195434633e+00 8.345762602119120854e-02
2.857500000000536033e+01 1.000040680008292604e+00 8.387072270127694795e-02
2.872500000000171028e+01 9.994148655322281360e-01 8.211135263991416189e-02
2.887500000000000000e+01 9.979105719113714468e-01 8.193918195103763735e-02
2.902499999999854552e+01 9.967608988980865004e-01 8.210926909958664310e-02
2.917499999999451177e+01 9.988516958201418827e-01 8.249330740261204276e-02
