# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.575149022864773087e+03 4.166547239559812255e+01
2.249999999999577616e-01 6.410899836936947982e-02 4.573481405787891418e-01
3.750000000000000000e-01 5.655792521026554998e-02 3.218981170462751340e-01
5.249999999999700462e-01 5.357229806208651385e-02 2.634737754333081328e-01
6.750000000001169509e-01 5.812687221909031837e-02 2.429777104043819025e-01
8.249999999998777200e-01 5.863312351443523973e-02 2.203792158677638502e-01
9.750000000001839418e-01 6.202160696482934832e-02 2.072763032989315135e-01
1.125000000000000000e+00 6.249649599252254245e-02 1.957558827227086351e-01
1.274999999999773648e+00 6.799528718215998302e-02 1.909909308005134643e-01
1.424999999999764455e+00 7.365958458289126320e-02 1.891944362302241389e-01
1.575000000000282396e+00 7.585521395895256092e-02 1.815388437042047276e-01
1.725000000000170397e+00 8.642600214825368887e-02 1.851331734990452338e-01
1.875000000000000000e+00 8.988679944366824437e-02 1.800366151618970623e-01
2.025000000000070521e+00 9.840823201765001860e-02 1.835574747832453002e-01
2.174999999999594813e+00 1.123174052109977006e-01 1.904982630003826394e-01
2.325000000000426059e+00 1.246770388804798596e-01 1.919793222791079390e-01
2.474999999999678124e+00 1.451001301619957717e-01 2.002212493830023421e-01
2.625000000000000000e+00 1.694442215698985510e-01 2.108193425687445166e-01
2.775000000000444444e+00 1.980989377272542873e-01 2.225489199101784998e-01
2.924999999999512212e+00 2.291361925498412999e-01 2.334397801801023908e-01
3.075000000000499334e+00 2.683802960415944683e-01 2.434210140096321473e-01
3.224999999999414779e+00 3.174236243014258441e-01 2.562194860851659817e-01
3.375000000000000000e+00 3.748069237012917054e-01 2.750629188767246824e-01
3.525000000000659384e+00 4.443105543305194138e-01 2.890316854199707630e-01
3.674999999999857714e+00 5.368447104472500175e-01 3.139709647730583586e-01
3.825000000000022382e+00 6.487629363269000748e-01 3.402179752814833980e-01
3.974999999999250466e+00 7.874184514658669753e-01 3.629567651103376424e-01
4.125000000000000000e+00 9.290862263730153003e-01 3.866086306845056275e-01
4.275000000000798828e+00 1.002031256292573946e+00 3.940612528405165738e-01
4.425000000000374634e+00 9.956550260017907883e-01 3.844809433115398134e-01
4.574999999999541878e+00 9.539043983384419834e-01 3.730300476939723553e-01
4.724999999999138112e+00 8.866024274623091062e-01 3.543786457338272688e-01
4.875000000000000000e+00 8.250704830100943354e-01 3.383067910668209333e-01
5.025000000000897415e+00 7.780069593873780720e-01 3.238968143875805561e-01
5.175000000000743228e+00 7.373211921555604675e-01 3.119618874611065906e-01
5.324999999999196376e+00 7.223850469398430674e-01 3.037492901637837694e-01
5.474999999999057287e+00 7.163705788398461172e-01 2.994727381033349123e-01
5.625000000000000000e+00 7.367907024990233422e-01 2.988389664831208048e-01
5.775000000000969358e+00 7.624384957470726754e-01 3.023389919312217677e-01
5.925000000001017675e+00 8.094665082307261894e-01 3.057293283583001897e-01
6.074999999998936140e+00 8.736064745927913933e-01 3.088324494262490449e-01
6.224999999998995115e+00 9.508571106858256794e-01 3.187046916507452754e-01
6.375000000000000000e+00 1.031415485234861817e+00 3.316603371451131710e-01
6.525000000001025313e+00 1.094456599981362244e+00 3.385912567092017045e-01
6.675000000001229949e+00 1.144382933329434415e+00 3.414137415545168142e-01
6.824999999998733635e+00 1.169171356672968898e+00 3.403231960245969301e-01
6.974999999999387690e+00 1.181607451775335660e+00 3.411344738759717887e-01
7.125000000000000000e+00 1.159459444822648955e+00 3.310136890118291486e-01
7.275000000000346745e+00 1.130417641547219798e+00 3.254212046209025155e-01
7.425000000001398703e+00 1.098564577547199050e+00 3.132196087914361771e-01
7.574999999998571099e+00 1.078770533774356943e+00 3.087892166981920372e-01
7.725000000000012079e+00 1.056483394582891533e+00 3.041182200890676923e-01
7.875000000000000000e+00 1.038645106279969976e+00 2.982235706402316389e-01
8.024999999999771205e+00 1.023826195584892629e+00 2.939055523806721193e-01
8.175000000001539036e+00 1.016038262848445672e+00 2.946533890468591155e-01
8.324999999998437872e+00 1.009511524897342527e+00 2.841495166927912042e-01
8.475000000000525446e+00 1.001483524691213267e+00 2.798917850800506923e-01
8.625000000000000000e+00 1.017511466549649635e+00 2.827312673377084806e-01
8.774999999999291589e+00 1.017731319758385045e+00 2.851142942090373888e-01
8.925000000001652722e+00 1.022276286585857674e+00 2.796703619093292015e-01
9.074999999998325961e+00 1.023876498148398762e+00 2.764305141735067251e-01
9.225000000000957101e+00 1.026543351389630709e+00 2.728296695765244362e-01
9.375000000000000000e+00 1.022451925701633124e+00 2.669300228559713384e-01
9.524999999998890132e+00 1.021718089604039870e+00 2.645408983972605266e-01
9.675000000001750422e+00 1.023970738102551126e+00 2.665960646389952671e-01
9.824999999998231814e+00 1.014564253919191472e+00 2.637031934247845433e-01
9.975000000001321254e+00 1.008495878489052311e+00 2.604056296640844814e-01
1.012500000000000000e+01 9.973471796296647929e-01 2.577941719486601668e-01
1.027499999999854730e+01 9.917227934959965685e-01 2.567108998035506628e-01
1.042500000000183391e+01 9.922514443799668182e-01 2.527881603519229192e-01
1.057499999999815010e+01 9.969951697689368730e-01 2.517962624941489369e-01
1.072500000000163745e+01 1.001212332239798997e+00 2.475555366793776302e-01
1.087500000000000000e+01 1.001686592670444798e+00 2.506103126577514661e-01
1.102499999999824887e+01 1.013484486857524791e+00 2.467598038685983597e-01
1.117500000000190674e+01 1.022749377726084541e+00 2.463761132797329390e-01
1.132499999999808082e+01 1.024388017924259486e+00 2.471418241679728955e-01
1.147500000000190923e+01 1.030143249980226328e+00 2.441608042175350268e-01
1.162500000000000000e+01 1.028560522953311906e+00 2.417824144382906826e-01
1.177499999999798952e+01 1.031437135709887265e+00 2.468939608898776950e-01
1.192500000000196891e+01 1.024859536414518102e+00 2.404851940146605915e-01
1.207499999999801865e+01 1.023211472262977262e+00 2.417183391250719571e-01
1.222500000000215081e+01 1.018464980523157370e+00 2.388128132288079575e-01
1.237500000000000000e+01 1.012690113152330484e+00 2.365748601472426327e-01
1.252499999999776215e+01 1.004644494077207018e+00 2.351527405290829431e-01
1.267500000000202398e+01 1.011393196653117110e+00 2.335513685866365263e-01
1.282499999999796536e+01 1.007537808214232111e+00 2.289656450136042520e-01
1.297500000000236220e+01 1.006218480154623673e+00 2.294534141097283597e-01
1.312500000000000000e+01 1.004255459010182649e+00 2.271546383122292623e-01
1.327499999999756142e+01 1.000656603068647454e+00 2.261635642137150015e-01
1.342500000000173088e+01 1.001191478795026679e+00 2.241162268053404905e-01
1.357499999999841833e+01 1.002861392904310645e+00 2.241299076086561148e-01
1.372500000000255049e+01 1.000998188308125814e+00 2.228600237961690655e-01
1.387500000000000000e+01 1.002289308262402479e+00 2.206181057004537593e-01
1.402499999999738023e+01 1.000138856485159655e+00 2.202772368701977623e-01
1.417500000000102034e+01 1.002067275365438270e+00 2.182856650255350361e-01
1.432499999999911111e+01 9.995172798200220310e-01 2.164959070647033690e-01
1.447500000000271925e+01 9.968748214373666094e-01 2.153178130347896957e-01
1.462500000000000000e+01 9.971019160629575051e-01 2.193734831682616626e-01
1.477499999999721680e+01 9.982566764096668654e-01 2.130985843830985882e-01
1.492500000000038618e+01 9.985127517415445242e-01 2.121460818553471406e-01
1.507499999999973639e+01 9.999476672700811086e-01 2.094985256179262012e-01
1.522500000000287201e+01 9.986031455425889991e-01 2.122547175870803104e-01
1.537500000000000000e+01 9.990962935277868384e-01 2.105871675492731743e-01
1.552499999999706937e+01 1.000465746732791983e+00 2.079759920637326842e-01
1.567499999999980886e+01 1.002753671217560649e+00 2.085581975774673802e-01
1.582500000000029772e+01 1.005047319001635131e+00 2.081156921960506390e-01
1.597500000000300879e+01 1.005363042285324804e+00 2.069440077609283057e-01
1.612500000000000000e+01 1.006027409231232017e+00 2.080339440152579322e-01
1.627499999999693969e+01 1.003115879170733749e+00 2.017185018897016957e-01
1.642499999999928662e+01 1.004769701252578695e+00 2.055573639290097510e-01
1.657500000000081286e+01 1.003327452203303549e+00 2.023102802504860576e-01
1.672500000000313847e+01 1.004091292211356734e+00 1.992848974972296350e-01
1.687500000000000000e+01 1.006767422976015292e+00 2.009491703176832511e-01
1.702499999999681535e+01 1.003199282694969385e+00 1.996499404776078679e-01
1.717499999999880700e+01 1.007212756503921725e+00 1.992978648546719356e-01
1.732500000000128182e+01 1.002883981409246505e+00 1.974811937504236670e-01
1.747500000000325215e+01 1.004339061091929830e+00 1.951787512217182663e-01
1.762500000000000000e+01 1.004456837169659833e+00 1.963514340244868761e-01
1.777499999999670521e+01 1.003818940748487210e+00 1.951788129343592915e-01
1.792499999999837357e+01 1.002554754587955843e+00 1.941147451862290652e-01
1.807500000000171170e+01 1.004297678100234403e+00 1.941022692299635699e-01
1.822500000000335874e+01 1.004113635168113916e+00 1.940644907365690064e-01
1.837500000000000000e+01 1.003139432769418971e+00 1.907257261487603772e-01
1.852499999999660218e+01 1.004732940722326440e+00 1.909498075294710218e-01
1.867499999999797211e+01 1.002735483955104145e+00 1.910240077142565940e-01
1.882500000000210960e+01 1.004711628810413648e+00 1.903436869102758666e-01
1.897500000000345466e+01 1.004610960898724370e+00 1.895713662058984839e-01
1.912500000000000000e+01 1.005815555855702703e+00 1.873874589963535342e-01
1.927499999999650626e+01 1.008221915842650640e+00 1.891337821012580023e-01
1.942499999999759908e+01 1.007113134416543154e+00 1.878889360953872323e-01
1.957500000000247198e+01 1.001924046260754597e+00 1.867651911023006928e-01
1.972500000000354348e+01 1.005844009940371597e+00 1.864280076921168150e-01
1.987500000000000000e+01 1.005044106903599355e+00 1.833979975453895461e-01
2.002499999999642100e+01 1.003716438104342190e+00 1.846721163067962246e-01
2.017499999999725446e+01 1.005520301786479331e+00 1.848783916387809756e-01
2.032500000000281304e+01 1.004225235262536708e+00 1.821548897711734449e-01
2.047500000000362874e+01 1.006883759591627125e+00 1.820366602269651579e-01
2.062500000000000000e+01 1.005065670458051175e+00 1.826720251208934498e-01
2.077499999999633928e+01 1.005119317033642989e+00 1.838263385044476006e-01
2.092499999999693472e+01 1.003874382555547395e+00 1.797384378441752584e-01
2.107500000000312212e+01 1.004513104220129849e+00 1.795129585848860010e-01
2.122500000000370690e+01 1.001056384312980274e+00 1.758450745388508707e-01
2.137500000000000000e+01 1.001768062914518476e+00 1.757373263499222849e-01
2.152499999999626468e+01 1.001111948816259201e+00 1.755295144179417621e-01
2.167499999999663984e+01 1.003183105546890275e+00 1.763819909970083255e-01
2.182500000000341700e+01 1.001953482460849365e+00 1.768884719518939164e-01
2.197500000000377796e+01 9.994541293041838692e-01 1.758081422280422246e-01
2.212500000000000000e+01 1.002272305132094754e+00 1.743111480854186157e-01
2.227499999999619718e+01 1.000811877342261846e+00 1.739144772803561112e-01
2.242499999999636273e+01 1.002653210936461425e+00 1.753763917526893756e-01
2.257500000000369056e+01 9.992017174275803493e-01 1.728231489801199949e-01
2.272500000000384546e+01 9.995462725604483678e-01 1.700855138233167974e-01
2.287500000000000000e+01 9.939102887358679528e-01 1.708780946518662081e-01
2.302499999999612967e+01 9.974838639315481981e-01 1.710610172381398786e-01
2.317499999999610338e+01 1.000319640444230052e+00 1.713741067165405474e-01
2.332500000000394635e+01 1.000176670560622982e+00 1.697256932834646237e-01
2.347500000000390941e+01 9.987561756393036339e-01 1.686836706974101652e-01
2.362500000000000000e+01 9.979437220101846640e-01 1.675613522279094658e-01
2.377499999999606928e+01 1.000473227355447747e+00 1.683497015790298701e-01
2.392499999999586180e+01 9.981818695414303999e-01 1.679754459809738865e-01
2.407500000000418439e+01 1.002344933886788469e+00 1.666393281506713397e-01
2.422500000000396625e+01 9.982264838705747767e-01 1.666764670971802864e-01
2.437500000000000000e+01 1.001212722588355586e+00 1.649278953208913601e-01
2.452499999999600888e+01 9.996861180539092784e-01 1.682579563795416899e-01
2.467499999999563087e+01 9.998464309416232876e-01 1.620614226449615392e-01
2.482500000000441176e+01 1.002177376718522916e+00 1.658304332985738871e-01
2.497500000000402309e+01 1.004435522990664298e+00 1.650447381483335085e-01
2.512500000000000000e+01 1.000893655135302707e+00 1.639540967997003273e-01
2.527499999999595559e+01 1.000243156830795677e+00 1.620144190909678095e-01
2.542499999999541771e+01 1.000190903969041534e+00 1.635567977796056061e-01
2.557500000000462137e+01 1.001895016689844820e+00 1.615794074102440969e-01
2.572500000000407638e+01 1.002425271204373747e+00 1.616409539651689764e-01
2.587500000000000000e+01 1.001194497880393497e+00 1.612562719643246545e-01
2.602499999999590585e+01 1.002848162192516268e+00 1.602046607214418217e-01
2.617499999999521521e+01 1.001761804050747662e+00 1.576208501447710075e-01
2.632500000000482032e+01 1.004142075051390526e+00 1.595451004194545774e-01
